BONTOK WORD,PART OF SPEECH,DEFINITION,PRONUNCIATION,ROOT,AFFIX ,MORPHOLOGICAL PHENOMENA,EXAMPLE SENTENCE,SENTENCE TRANSLATION,VARIATIONS,PLURAL FORM,NOTES,
Bontoc,Noun,"Literally, ""mountain""",/bon.toc/,Bontoc,N/A,N/A,Iyamakatako ay mangney ad Bontoc.,Let us take him on a litter to Bontoc.,N/A,N/A,"Proper Noun
Concrete Noun
Uncountable Noun",bontoc
Bontok,Noun,It refers to the people who share close linguistic and cultural similarities and originate from Bontoc.,/bon.tok/,Bontok,N/A,N/A,Nan Bontok nan in-amongan ad ato.,The Bontok people gathered at the ato.,N/A,N/A,"Proper Noun
Concrete Noun
Uncountable Noun",bontok
boya,Verb,"To view; to look at; to watch (pictures, displat, etc).",/bo.ya/,boya,N/A,N/A,N/A,N/A,N/A,N/A,Original Word,boya
bulul,Noun,A pair of figures (man and woman) used in various social and religious rituals in Cordillera societies.,/bu.lul/,bulul,N/A,N/A,Inaywan da nan bulul isnan ritwal.,They took care of the ritual figures during the ceremony.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",bulul
báal,Verb,To send by messenger,/bá.al/,báal,N/A,N/A,Bomáalkas mangey sinan sólatyo ad Bontok.,Send somebody to take your letter to Bontoc.,N/A,N/A,Present Tense,báal
bádal,Verb,To bandage,/bá.dal/,bádal,N/A,N/A,Badálem ta adi domad-ála.,Bandage it so it will not bleed.,N/A,N/A,Present Tense,bádal
bádang,Verb,To help; aid; assist,/bá.dang/,bádang,N/A,N/A,Badángam si inam sinan owas.,Help your mother wash dishes.,N/A,N/A,Present Tense,bádang
báew,Verb,To be cool,/bá.ew/,báew,N/A,N/A,Adina kanen mo daan kabáew.,She won't eat it if it is not cool.,N/A,N/A,Present Tense,báew
bágay,Verb,To tickle,/bá.gay/,bágay,N/A,N/A,Bagáyem si tosa ta goládek nan ineegnána.,Tickle him so I can grab what he is holding.,N/A,N/A,Present Tense,bágay
bágis,Verb,To eat something raw which is normally cooked,/bag.is/,bágis,N/A,N/A,Angsanda nan inbagbágis sinan daan kaloto ay watwat.,There are many people who eat raw meat.,N/A,N/A,Present Tense,bágis
bágit,Verb,To have bloodshot eyes,/bág.it/,bágit,N/A,N/A,Maila ay makses-eyepka tay bomabágit nan matam.,You look sleepy beacause you have bloodshot eyes.,N/A,N/A,Present Tense,bágit
báig,Verb,"To chastise by spanking, also the object so used",/bá.ig/,báig,N/A,N/A,Bináigko si Lester tay eg maoyong.,I spanked Lester because he is naughty.,N/A,N/A,Present Tense,báig
bákag,Verb,"To gash; to strike with a sharp, bladed instrument",/bá.kag/,bákag,N/A,N/A,Eneydas pital tay nabákag nan sikina.,They are taking him to hospital because he gashed his leg.,N/A,N/A,Present Tense,bákag
bákal,Verb,"To fight, of traditional head taking activities",/bá.kal/,bákal,N/A,N/A,Ad kaysan in-ibabákal nan iGinaang ya nan iSadanga.,In the old days the Guinaang and Sadanga people used to fight each other.,N/A,N/A,Present Tense,bákal
bákas,Verb,"To tear, as cloth; to break up; to pull down; to destroy, of anything that has been made.",/bá.kas/,bákas,N/A,N/A,Binákas si mamaggit nan bádona.,The young ladies tore his shirt.,N/A,N/A,Present Tense,bákas
bákas,Verb,"To transfer one's household, by dismantling one's house and rebuilding in a different location",/bá.kas/,bákas,N/A,N/A,Inbákas nan iMainit tay as domnoda.,Mainit people are now repairing their houses because they are preparing for the wedding ceremony.,N/A,N/A,Present Tense,bákas
bákas,Verb,"To be a bad trail, said of a trail if one has received a bad omen while passing along it, causing one to return to one's starting point.",/bá.kas/,bákas,N/A,N/A,Adikami matoley ay omey ad Bagyo tay wad-ay inmibákas sinan dálan.,"We postponed going to Baguio, because we had a bad omen on the trail.",N/A,N/A,Present Tense,bákas
bála,Verb,To go or take outside,/bá.la/,bála,N/A,N/A,Bomálakayo am-in si sa ay wad-day si ábong.,All you people who are inside must come out.,N/A,N/A,Present Tense,bála
bálang,Verb,To take anything; not to be particular; to be indifferent,/bá.lang/,bálang,N/A,N/A,Bálangkat si asaw-en.,"Marry whoever comes along, don't be choosy.",N/A,N/A,Present Tense,bálang
bálat,Noun,Banana plant,/bá.lat/,bálat,N/A,N/A,Engkayo mamálat si esa maangel si wákas.,Go and get banana plant for pig food tomorrow.,N/A,N/A,Common Noun                                      Concrete Noun                                           Countable Noun                                                   Singular Noun,bálat
báles,Verb,To revenge; to pay back,/bá.les/,báles,N/A,N/A,Masápol ibáles mo way patayendas pangábong winno káyong.,You must revenge whenever they kill one of your family or friends.,N/A,N/A,Present Tense,báles
bánew,Verb,To serve cooked rice,/bá.new/,bánew,N/A,N/A,Tay sik-a nan in-ina sik-a nan inbánew.,Since you are the oldest among us you serve the rice.,N/A,N/A,Present Tense,bánew
bángon,Verb,To awaken; to get up from a prone-position,/bá.ngon/,bángon,N/A,N/A,Bomángonkas aw-awni.,Get up a little later.,N/A,N/A,Present Tense,bángon
báog,Verb,To have never married; one who has never married,/bá.og/,báog,N/A,N/A,Sapay koma ta mabáogka.,I hope you will never marry.,N/A,N/A,Present Tense,báog
báog,Verb,To pount a wet floor or terrace wall with stone or wood to compact the mud,/bá.og/,báog,N/A,N/A,Ibáogmo nan náay bato.,You use this stone to pount the mud.,N/A,N/A,Present Tense,báog
bása,Verb,To read,/bá.sa/,bása,N/A,N/A,Gawis nan inoskílata tay ammo ay inbása.,It it good to go to school because you learn to read.,N/A,N/A,Present Tense,bása
bátil,Verb,"To have a hard center, of a partly cooked sweet potato",/bá.til/,bátil,N/A,N/A,Adim sa itapi tay nabatílan.,Don't include that one because it has a hard center.,N/A,N/A,Present Tense,bátil
bátol,Verb,"To have the taste of cooked rice, of rice beer which is newly made",/bá.tol/,bátol,N/A,N/A,Wad-ay tápeymi ngem daána ibátol nan kakanána.,"We have rice beer, but it still tastes like cooked rice.",N/A,N/A,Present Tense,bátol
bátoy,Verb,To strike many blows,/bá.toy/,bátoy,N/A,N/A,Sino an dakayo nan namatobátoy sinan bálatko?,Who among you destroyed my banana plant?,N/A,N/A,Present Tense,bátoy
báwi,Verb,To be sorry; disconsolate,/bá.wi/,báwi,N/A,N/A,Inbabáwi nan áso tay nabáig.,The dog is sad because it was beaten.,N/A,N/A,Present Tense,báwi
báyad,Noun,To pay,/bá.yad/,báyad,N/A,N/A,As maid ibáyadna.,He won't have anything with which to pay.,fayad,N/A,Present Tense,báyad
báyo,Verb,"To pountd with pestle and mortar, in order to remove the husk from the kernel, usually of rice but also of coffee, millet and corn",/bá.yo/,báyo,N/A,N/A,Bomáyokas sin-iting.,Pound five bundles of rice.,fayo,N/A,Present Tense,báyo
cano,Sentence Particle,"A modal particle, indicating the information is hearsay.
",/ka.no/,cano,N/A,N/A,Kanna da cano nga na-ugsa nan uma ay immali si umili,"The field was destroyed by villagers, it is said.",N/A,N/A,,cano
cha,Pronoun,A determiner of plural personal noun phrases.,/tsa/,cha,N/A,N/A,Ay wad-ay cha Juan sid-i?,Are Juan and his companions there?,da,N/A,Third Person Plural,cha
chachama,Verb,To be extreme; to overdo something.,/tsa.tsa.ma/,chama,N/A,Reduplication,Chacháma nan inikkam an inam.,What you did to your mother was too bad.,N/A,N/A,Present Tense,chachama
chachi,Pronoun,Those; combined form of them and that one,/tsa.tsi/,chaicha + chi,cha + chi,Incorporation,Inala chachi ay pang experiment kuma.,They got it for the purpose of experimentation.,N/A,N/A,Third Person Plural,chachi
chad-ayawen,Verb,Worshiping,/tsad.a.ya.wen/,ayaw,"chad-, -en",Circumfixation,Chad-ayawen cha nan Apo isnan simfaan.,They are worshiping the Lord in the church.,dad-ayawen,N/A,Present Tense,chad-ayawen
chadchaelen,Verb,To Destroy; to cause damage,/tsa.tsa.e.len/,dael,"chad-, -en","Reduplication, Suffixation",Chadchaelen tako nan afong.,Let us destroy the house.,dadaelen,N/A,Future Tense,chadchaelen
chadlus,Noun,A cool breeze; to have a breeze blowing on one.,/cha.dlus/,chadlus,N/A,N/A,Nan kichu ay kumedya chadlus.,Feel the gentle breeze.,dadlus,N/A,"Common Noun
Concrete Noun
Countable Noun",chadlus
chag-ay,Noun,Songs; a specific set of songs for every important occasion in Bontok life.,/chag.ay/,chag-ay,N/A,N/A,Mangchag-ay cha inton mangmang.,They sing chag-ay songs during ceremonies.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",chag-ay
chakayo,Pronoun,Second person nonminimal pronoun; you (plural),/tsa.ka.yo/,chakayo,N/A,N/A,"Chakayo ay Ifontok, umali kayo ad Baguio.","You the people of Bontoc, come here in Baguio.",dakayo,N/A,Second Person Plural,chakayo
chaklag,Noun,The breast tattoo of a headhunter.,/chak.lag/,chaklag,N/A,N/A,Nan lakay ay wad-ay chaklag.,The old man has a breast tattoo.,N/A,N/A,Singular,chaklag
chalischis,Noun,"A type of mangmang ceremony using a pig, for occasions like house blessings.",/cha.lis.chis/,chalischis,N/A,N/A,Nan chalischis nan mangmang para si afong.,The chalischis is a ceremony for a house (blessing).,,N/A,"Proper Noun
Abstract Noun",chalischis
challog,Noun,depressions in hillsides that turn into rivers during the rainy season,/tsal.log/,challog,N/A,N/A,Nan challog ay wad-ay chanum inton udan.,The depression becomes a river when it rains.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",challog
chamo,Noun,The first of a series,/tsa.mo/,N/A,N/A,N/A,Nan chamo ay libro it khawis.,The first book is nice.,damo,N/A,"Common Noun
Singular Noun",chamo
Chana,Pronoun,These ones.,/cha.na/,chana,N/A,N/A,Chana nan apongoy ay sinangid da.,These are the head beads they treasured.,dana,N/A,Demonstrative Pronoun,chana
chanom,Verb,"To irrigate pondfields; to guard the water supply to one's pondfield, especially at night in the dry season",/tsa.nom/,chanom,N/A,N/A,Kanak mo engka nananom yakey pet sokal nan dinnom?,I thought you had gone to guard the water supply to the pondfield but you just went gambling?,danom,N/A,Present Tense,chanom
chanom,Noun,Water,/tsa.nom/,chanom,N/A,N/A,Umyala kad si chanom.,Can you get me some water?,danom,N/A,"Common Noun
Concrete Noun
Uncountable Noun",chanom
chanonen,Verb,To reach or arrive at some place,/tsa.no.nen/,chanon,-en,Suffixation,Cha-anko chanonen nan fato ya maschem.,"I haven't yet worked as far as the rock, and it is nightfall.",N/A,N/A,Present Tense,chanonen
chao-es,Noun,A feast for the manerwap rain-calling ritual; a feast for a name-change due to illness.,/chaw.es/,chao-es,N/A,N/A,Nan wangwang id Fontok ya an-anwa mo nan wanga ad Tukukan.,The river at Bontoc is wider than at Tukukan.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",chao-es
charngek ,Noun,A work-related song in Sadanga.,/char.ngek/,charngek ,N/A,N/A,Inkacharngek da isnan uma ay Sadanga.,They performed a work song in the fields of Sadanga.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",charngek
chata,Pronoun,Us ,/tsa.ta/,chata,N/A,N/A,Umali ka chata alan nan payong ko.,Come and we will go get my umbrella.,N/A,N/A,First Person Plural,chata
chatako,Pronoun,"We (all). First person inclusive plural pronoun. This pronoun is not marked for case. It is used as the Nominative pronoun in transitive sentences, as well as sentence initial Topic and Predicate pronoun. It can also appear following a personal oblique preposition",/tsa.ta.ko/,tako,cha-,Prefixation,Chatako nan umeyad Natonin.,We are the ones going to Natonin.,N/A,N/A,First Person Plural,chatako
chatona,Pronoun,"These people, near speaker",/tsat.to.na/,tona,cha-,Prefixation,Adika maisagsag-en an chatona tay as maalisankas nan sakitda.,"Do not come close to these people, or you will catch their sickness.",datona,N/A,Demonstrative Pronoun,chatona
chatosa,Pronoun,Those,/cha.to.sa/,"cha, tosa",N/A,Compounding ,Chatosa nan apongoy ay sinangid da.,Those are the head beads they treasured.,N/A,N/A,Demonstrative Pronoun,chatosa
chawat,Verb,To receive or to accept in one's hands.,/cha.wat/,dawat,N/A,N/A,Adk chawaten nan takfa.,I do not want to accept the rattan bag.,dawat,N/A,Present Tense,chawat
Chaya,Noun,Heaven,/tsa.ya/,chaya,N/A,N/A,"Ili ad chaya ay kakhakhawisan, Am-in kachangyan.","In the city of heaven, Where all are blessed as one.",N/A,N/A,"Proper Noun
Concrete Noun
Countable Noun",chaya
chayaket,Noun,"Kind of rice, usually red",/tsa.ya.ket/,chayaket,N/A,N/A,Inka lumako si chayaket.,Go and buy a glutinous rice.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",chayaket
chengen,Verb,To listen; to hear,/che.ngen/,denge,-n,Suffixation,Chengem sak-en.,Listen to me.,dengen,N/A,Present Tense,chengen
chengngem,Verb,Listen (command addressed to the second person),/cheng.ngem/,denge,-m,Suffixation,Chengngem nan dak kanan.,Hear what I'm saying.,"chenge,",N/A,Present Tense,chengngem
chepras,Noun,a down slope,/tsep.ras/,chepras,N/A,N/A,Innalin nan baka si chepras.,The cow wend down the slope.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",chepras
cheyassa,Noun,Rice-pounding songs; also songs of courtship.,/tsey.ya.sa/,cheyassa,N/A,N/A,Mang-cheyassa nan fafayi inton mangpispis.,The women sing rice-pounding songs while pounding rice.,chayassa,N/A,"Common Noun
Concrete Noun
Countable Noun",cheyassa
chi,Pronoun,"That one, away from speaker and addressee",/tsi/,chi,N/A,N/A,Ay omeykas chi?,Are you going there?,di,N/A,Demonstrative Pronoun,chi
chilana,Noun,Tongue of one person,/chi.la.na/,chila,-na,Suffixation,Ayaka nan liwid na tay inlamsit nan chilana.,He has many friend for his tongue is sweet.,dilana,N/A,"Common Noun
Concrete Noun
Countable Noun",chilana
chinaitmo,Verb,To sew,/chi.na.it.mo/,"dait,mo",-in-,"Infixation, Incorporation",Napintas nan fachona ay chinaitmo.,The dress you sewed is beautiful.,N/A,N/A,Past Tense,chinaitmo
Chinakhon ,Noun,"A specific variety or type of rice grown by the Bontok people, planted from March to July.",/chi.nak.hon/ ,Chinakhon ,N/A,N/A,Nan Chinakhon nan iyanak mi inton Mayo.,We plant the Chinakhon rice in May.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",chinakhon
Chinangta,Noun,"A kind of white loin cloth, used on ceremonial occasions.",/tsi.nang.tar/,chinangta,N/A,N/A,Na-iyan nan chinangta si minatay ay lalaki.,The chinangta was placed on the dead man.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",chinangta
chinawat,Verb,"To accept, usually of a new worker in the mines",/a.wá.tan/,awat,-an,Suffixation,Ay chinawat das asawam?,Did they accept your husband (for work)?,N/A,N/A,Future Tense,chinawat
chinchinnger,Verb,To listen to something being said (Nom).,/tsin.tsing.er/,chenger,chin-,Reduplication,Waday ngen chinchingger da ay kagtuna?,Did they hear something like this?,didinnger,N/A,Past Tense,chinchinnger
chinumingko,Adverb,Every Sunday; every week,/chi.nu.ming.ko/,dominggo,N/A,N/A,Chinumingko da ay mangan ad ato.,They eat at the ato every Sunday.,dinominggo,N/A,Adverb of Time,chinumingko
Chios,Noun,The Christian God,/tsi.os/,Chios,N/A,N/A,Chios Ama machad-ayaw ka.,You are our God whome we will worship.,N/A,N/A,"Proper Noun
Abstract Noun
Singular Noun",chios
chios,Noun,God,/ts.us/,chios,N/A,N/A,,,chos,N/A,,chios
chomachanak,Noun,swamp land,/cho.ma.cha.nak/,chomachanak,N/A,N/A,Inkal-lugan da nan chomachanak.,They went through the swamp.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",chomachanak
chomalat,Verb,To be the cause of something; as one who starts a fight; to be the reason for something,/tso.ma.lat/,chalat,-om-,Infixation,Ay ne kan nan chomalat sinan inyoononganyo?,What is the reason for your fighting?,domalat,N/A,Present Tense,chomalat
chomno,Noun,"A participant in any ceremonial complex associated with marriage, particularly the lópis or fayas ceremonies.",/tsum.nu/,chono,-om-,Infixation,Agkatalo nan chomno si ayyam.,The participant watched the celebration.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",chomno
chono,Noun,A grand thanksgiving feast sponsored by the kachangyan (rich).,/cho.no/,chono,N/A,N/A,Nan kachangyan nan mangsponsor sin chono.,The rich sponsor the chono feast.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",chono
chowang,Noun,riverbanks and land full of stones,/tso.wang/,wang,cho-,Prefixation,Ad-adu nan bato si chowang.,There are many stones on the riverbank.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",chowang
chua,Numerical,Two,/tsu-wa/,chua,N/A,N/A,Chua nan inalak ay ballpen.,I got two ballpens.,duwa,N/A,,chua
chuno,Noun,Work,/chu-no/,chuno,N/A,N/A,Nen-chuno-ka idugka.,You worked yesterday.,dunu,N/A,"Common Noun
Concrete Noun
Countable Noun",chuno
chunona,Verb,Worked on something,/tsu.nu.na/,chuno,-na,Suffixation,Ama ang-angsan nan chunona.,The father have a lof of work.,dununa,N/A,Present Tense,chunona
Chunu,Verb,To work,/chu.nu/,chono,N/A,N/A,"Manchono tako ay mang-ub-ubwat si fawi.
",We work together to repair the men’s house.,N/A,N/A,Past Tense,chunu
Churya-a,Noun,Previous name of Bontoc,/chur.ya.a/,Churya-a,N/A,N/A,Entetee nan khayam ko ad Churya-a.,My friend lived in Churya-a.,N/A,N/A,Proper Noun,churya-a
da,Pronoun,"They, them, their.",/da/,da,N/A,N/A,Nan takfa da na-aywan si fayu.,Their sling bag was left in the field.,N/A,N/A,Second Person Plural,da
da,Article,Plural personal noun phrase marker,/da/,N/A,N/A,N/A,Ay wad-ay da Juan sid-i?,Are Juan and his companions there?,N/A,N/A,,da
daet,Particle,"Maybe, perhaps, it could be — expresses uncertainty or possibility.",/da.et/,daet,N/A,N/A,Inmali nan feshat si ayyam daet wada nan gatan na ay tapey.,"My sister came to the feast, perhaps she brought rice wine.",N/A,N/A,Adverb of Possibility,daet
dagem,Verb,To be windy,/da.gem/,dagem,N/A,N/A,Napigsa nan dagem adwani.,The wind is strong today.,N/A,N/A,Present Tense,dagem
dawaten,Verb,To receive; to take; to beg,/da.wa.ten/,dawat,-en,Suffixation,Mo way egwalda dawaten.,"If they give you something, take it.",chawaten,N/A,Present Tense,dawaten
dawi,Adjective,Far; distant,/dá.wi/,dawi,N/A,N/A,Dawi nan eskuela sin baey mi.,The school is far from our house.,adawi; adchawi,N/A,"Descriptive Adjective
Positive Degree",dawi
deey,Pronoun,"This, that — refers to something nearby or being pointed to.",/de.ey/,deey,N/A,N/A,Deey nan wakes ay pinanawan nan ama.,This is the loincloth that the father set aside.,dey,N/A,Demonstrative Pronoun,deey
dey,Pronoun,"That one, away from speaker and hearer; there, away from speaker and hearer",/dey/,dey,N/A,N/A,Deyda ay omali.,There they are coming.,deey,N/A,Demonstrative Pronoun,dey
di,Pronoun,"That, away from speaker and hearer; there. away from speaker and hearer",/di/,di,N/A,N/A,Ay omeykas di?,Are you going there?,N/A,N/A,Demonstrative Prononun,di
dirge ,Noun, A funeral song; a mournful song.,/dir.ge/,dirge ,N/A,N/A,Manganta cha si dirge.,They are singing a funeral song.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",dirge
dissadis,Noun,A type of song expressing love and desire.,/dis.sa.dis/,dissadis,N/A,N/A,Inmangdissadis da isnan dap-ay.,They sang a love song at the meeting place.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",dissadis
efa-ag,Verb,To tell a secret; to repeat something one has heared; to tell about someone,/e.fa.ag/,fa-ag,e-,Prefixation,Efa-ag ko sik-a tay nangakewka.,I will tell about you because you are a thief.,ibaag,N/A,Future Tense,efa-ag
eg-ay,Adverb,"Nol not. A completive aspect negative, used to negate actions that have not been completed.",/eg.ay/,eg-ay,N/A,N/A,Eg-ay sisya inali.,He has not come.,N/A,N/A,Auxiliary Verb,eg-ay
eg-ayko,Adverb,I have not yet,/eg.ay.ko/,"eg-ay, ko",N/A,"Incorporation, Derivation",Eg-ayko inala.,I did not get it.,N/A,N/A,Auxiliary Verb,eg-ayko
egwar,Verb,To give something (Nom) to someone.,/eg.war/,egwar,N/A,N/A,Egwarmo nan takfam an tod-i.,Give your backbasket to him.,egwa; egwar,N/A,Present Tense,egwar
egyaten,Vowel,To be afraid; to fear.,/e.gye.ten/,egyat,-en,Suffixation,Dana egyaten sik-a.,He is making you afraid.,N/A,N/A,Present Tense,egyaten
ekar,Noun,"Snake bones, part of the appong.",/e.kar/,ekar,N/A,N/A,Mabilin nan ekar.,The snake bone is long.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",ekar
en,Particle,Part of particle compound mo enet which introduces a chance condition; lest,/en/,N/A,N/A,N/A,Adikas sa omey en maisagawka.,Don't go there lest you slip and fall.,N/A,N/A,N/A,en
en,Particle,"Used to show a possible situation or a warning, like ""in case"" or ""lest"".",/en/,N/A,N/A,N/A,"Mo enet kamit adi mangan sid-i, as omalikamis na ay mangan.","If by chance we do not eat there, we will come here to eat. ",N/A,N/A,,en
en-uto,Verb,"To cook by boiling, especially to cook rice",/en.u.to/,oto,en-,Prefixation,Sika ngen nan en-uto adwani?,Are you the one going to cook today?,enluto,N/A,Future Tense,en-uto
en-uwas,Verb,"To wash, as dishes",/en.u.was/,owas,en-,Prefixation,Sak-en nan en-uwas.,I am going to wash the dishes.,enugas,N/A,Future Tense,en-uwas
enani,Verb,Was harvested,/en.a.ni,ani,en-,Prefixation,Enani nan palay isnan uma.,The rice was harvested in the field.,N/A,N/A,Present Tense,enani
enayan,Interjection,To express the feeling of disappointment,/e.na.yan/,enayan,N/A,N/A,Enayan! Netdag di.,Oh no! It fell.,N/A,N/A,,enayan
enchalos,Verb,"To clean, as a dirty object or overgrown paths or terrace walls",/en.cha.los/,chalos,en-,Prefixation,Sino nan enchalos iswakas?,Who is going to clean the house tomorrow?,endalos,N/A,Future Tense,enchalos
enfiag,Verb,To live; to exist,/en.fyag/,fiag,en-,Prefixation,Enfiag tako ay masirib.,Let us live wisely.,enbiyag,N/A,Present tense,enfiag
enfilin,Verb,To command; to order; law; commandment,/en.fi.lin/,bilin,en-,Prefixation,Masapol koma ay patiyentako nan enfilin Apo Diyos ken chatako.,We should believe the law of God.,enbilin,N/A,Present Tense,enfilin
enfinadang,Verb,To help each other; mutual assistance,/en.fi.na.dang/,badang,"en-, -in-",Circumfixation,Enfinadang tayo't am-in.,Let us help one another.,enbinadang,N/A,Present tense,enfinadang
enfolo,Verb,To wash one's hands,/en.fe.lew/,bolo,en-,Prefixation,Enfolo ka adi nu enka mangan.,Wash your hands before you eat.,enbelew,N/A,Present Tense,enfolo
engchadayaw,Verb,To worship; to praise,/eng.cha.da.yaw/,dayaw,eng-,Prefixation,Engchadayaw tako ken Apo.,Let us worship the Lord.,enchadayaw,N/A,Present tense,engchadayaw
engkana,Preposition,To the end; always; until.,/eng.ka.na/,engkana,N/A,N/A,Entetee kassa engkhana matey ka.,Stay here until you die.,enggana,N/A,Preposition of Time,engkana
enkakawa,Verb,To have (an object) between (two people / things),/en-kak-awa/,enkakawa,N/A,N/A,Ilam tay enkakawa sa si bag.,Watch out because he steals a bag.,N/A,N/A,Present Tense,enkakawa
enkalalag,Verb,To pray,/en.ka.la.lag/,kalalag,en-,Prefixation,Enkalalag kat.,Pray now.,N/A,N/A,Future Tense,enkalalag
enkanta,Verb,Any non-indigenous song; to sing any song of this type,/en.kan.ta/,kanta,en-,Prefixation,Sino nan cha-en kanta?,Who is singing?,N/A,N/A,Future Tense,enkanta
enkawisan,Verb,For the betterment; for the good; to improve.,/en.ka.wi.san/,kawis,"en-, -an",Circumfixation,Enkawisan tako nan chakayo.,Let’s do this for your good.,engawisan,N/A,Present Tense,enkawisan
enkenteg,Verb,"To be hard or stiff, as in rigor mort is; to be strong, as children learning to walk; to be stable or settled",/en.ken.teg/,kenteg,en-,Prefixation,Enkenteg nan ulom.,Your head is hard.,N/A,N/A,Present Tense,enkenteg
enkhana,Preposition,Until,/en.ka.na/,enkhana,N/A,N/A,Enteee kami isna enkana's maschem.,We shall stay here until night.,enggana,N/A,Preposition of Time,enkhana
enkik-iwi,Verb,To move; to be in motion,/en.kik.i.wi/,enkik-iwi,N/A,N/A,Enkik-iwi nan linya.,The line began to move.,N/A,N/A,Present Tense,enkik-iwi
enlafa,Verb,To wash clothes,/en.la.fa/,laba,en-,Prefixation,"Sika nan enlafa, saken nan maseyep.",You are going to wash clothes while I'm going to sleep.,enlaba,N/A,Future Tense,enlafa
enlako,Verb,"To sell, to put up for sale.",/en.la.ko/,lako,en-,Prefixation,Enlako chas nateng ad wanga.,They are selling vegetables by the riverbank.,N/A,N/A,Present Tense,enlako
enleng-leng,Verb,To grip and twist someone's nose.,/en.leng.leng/,lengleng,en-,Prefixation,Enlengleng nan ub-ubbing nan unggoy.,The children are twisting the monkey's nose.,N/A,N/A,Present Tense,enleng-leng
enlilinayad,Verb,To love one another,/en.li.li.na.yad/,layad,"en-, -li-","Reduplication, Prefixation",Enlilinayad tako't am-in.,We should love one another / each other,N/A,N/A,Present Tense,enlilinayad
enpagkhawis,Verb,To heal; to make better; to cause recovery or improvement,/en.pag.kha.wis/,gawis,enpa-,Prefixation,Enpagkhawis ka tatno makakakan tas naimas.,Get well so we can eat something delicious.,N/A,N/A,Present Tense,enpagkhawis
enpakada,Verb,To inform,/en.pa.ka.da/,pakada,en-,Prefixation,Enpakadan manong ko sak-en ken amak.,My brother informed my father about me.,N/A,N/A,Present Tense,enpakada
enpilian,Verb,Selected; chose; picked out,/en.pi.li.an/,pili,"en-, -an",Circumfixation,Enpilian tako nan makan ay wad-ay si mesa.,We chose the food that is on the table.,N/A,N/A,Past Tense,enpilian
ensakhaysay,Verb,To comb one's hair,/en.sa.khay.say/,sagaysay,en-,Prefixation,Ensakhaysay ka maadi eh.,Please comb your hair.,N/A,N/A,Present Tense,ensakhaysay
ensakit,Verb,To be painful; to hurt,/en.sa.kit/,sakit,en-,Prefixation,Ensakit nan nakem ko tay adi ka nin palikna.,I'm hurt because you didn't even bother to say hi to me.,N/A,N/A,Present Tense,ensakit
ensama,Verb,To till pondfields,/en.sa.ma/,sama,en-,Prefixation,"Esayo i samalen ad Wail, ta sa i matondan",Go and till the pondfields at Wailt so that they can be planted.,N/A,N/A,Past Tense,ensama
ensop-ok,Noun,Traditional doctors; shamans.,/en.sop.ok/,ensop-ok,N/A,N/A,Inmali nan ensop-ok ta mangagas isnan masakit.,The shamans came to heal the sick person.,N/A,N/A,"Proper Noun
Concrete Noun
Countable Noun",ensop-ok
enta,Verb,Let's go,/en.ta/,enta,N/A,N/A,Enta inpalaktis is awni.,Let's go and practice later.,N/A,N/A,Future Tense,enta
entet-an,Noun,Place to stay,/en.tet.an/,tee,"en-, -an",Circumfixation,Entet-an ka ad Fontok.,Stay in Bontoc.,entetean,N/A,"Common Noun
Concrete Noun
Countable Noun",entet-an
entet-an,Noun,Place to stay,/en.tet.an/,tee/teel,"en-, -an",Circumfixation,Entet-an ka ad Fontok.,Stay in Bontoc.,N/A,N/A,"Concrete Noun, Common Noun, Singular",entet-an
entetey-an,Noun,To live; place where one lives,/en.te.tey.an/,teel,"en-,-an",Circumfixation,Ento entetey-an yo?,Where do you live?,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",entetey-an
ento,Adverb,Asks about or indicates location,/en.to/,ento,N/A,N/A,Ento nan umyam?,Where are you going?,N/A,N/A,Adverb of Location,ento
entu,Adverb,Where?,/en.tu/,entu,N/A,N/A,Entu nan dap-ay et menlufid?,Where is the men’s house for sleeping?,N/A,N/A,Adverb of Location,entu
entulong,Verb,To help,/en.tu.long/,tulong,en-,Prefixation,Entulong tako ka nateyan.,Let us help the bereaved.,N/A,N/A,Present Tense,entulong
enyaman,Verb,Thank,/en.ya.men/,yaman,en-,Prefixation,Enyaman ak ken Apo Chios,I thank God.,N/A,N/A,Present Tense,enyaman
