word,meaning,translation,source,morphology,root,processes,type,meaning,partial chunk,form,normalized_form
dérak,"to consume, use (water, electricity, etc.) (man -); to lose, use up (- en)",consume,Dictionary D,"{""root"":""dérak"",""processes"":[]}",dérak,-,-,-,-,-,derak
déral,to destroy (man -),destroy,Dictionary D,"{""root"":""déral"",""processes"":[]}",déral,-,-,-,-,-,deral
deremén,"‘black rice’, a sweet made from toasting",black rice dish,Dictionary D,"{""root"":""deremén"",""processes"":[]}",deremén,-,-,-,-,-,deremen
derÉtsa,"legitimate, rightful",legitimate,Dictionary D,"{""root"":""derÉtsa"",""processes"":[]}",derÉtsa,-,-,-,-,-,deretsa
dérew,to hand something (man -),to hand,Dictionary D,"{""root"":""dérew"",""processes"":[]}",dérew,-,-,-,-,-,derew
deriá,to teach a lesson (in punitive sense),lesson,Dictionary D,"{""root"":""deriá"",""processes"":[]}",deriá,-,-,-,-,-,deria
dEsgrasiá,accident,accident,Dictionary D,"{""root"":""dEsgrasiá"",""processes"":[]}",dEsgrasiá,-,-,-,-,-,desgrasia
desi-,"(before numerals saís , siÉte , ócho , nuÉvE) -teen",-teen,Dictionary D,"{""root"":""desi- "",""processes"":[]}",desi- ,-,-,-,-,-,desi-
desiáng,accident,accident,Dictionary D,"{""root"":""desiáng"",""processes"":[]}",desiáng,-,-,-,-,-,desiang
dEciÉmbrE,December,december,Dictionary D,"{""root"":""dEciÉmbrE"",""processes"":[]}",dEciÉmbrE,-,-,-,-,-,deciembre
dÉspartE,impossible,impossible,Dictionary D,"{""root"":""dÉspartE"",""processes"":[]}",dÉspartE,-,-,-,-,-,desparte
dEstíno,destination,destination,Dictionary D,"{""root"":""dEstíno"",""processes"":[]}",dEstíno,-,-,-,-,-,destino
dEtÉra,"dismissal of gathering, class, etc. finishing time;",dismissal,Dictionary D,"{""root"":""dEtÉra"",""processes"":[]}",dEtÉra,-,-,-,-,-,detera
di,plural or respect marker used with personal nouns to indicate subject/topic,di,"Dictionary D, Dictionary S","{""root"":""di"",""processes"":[]}",di,-,-,-,-,-,di
diá,here,here,Dictionary D,"{""root"":""diá"",""processes"":[]}",diá,-,-,-,-,-,dia
división,division (esp. in government office etc.),division,Dictionary D,"{""root"":""división"",""processes"":[]}",división,-,-,-,-,-,division
didál,thimble,thimble,Dictionary D,"{""root"":""didál"",""processes"":[]}",didál,-,-,-,-,-,didal
diÉs,"ten (in phrases referring to money, time, dates, addresses)",ten,Dictionary D,"{""root"":""diÉs"",""processes"":[]}",diÉs,-,-,-,-,-,dies
digó,"soup, cook as soup (-an )",soup,Dictionary D,"{""root"":""digó"",""processes"":[]}",digó,-,-,-,-,-,digo
diká,"grass, weeds",grass,Dictionary D,"{""root"":""diká"",""processes"":[]}",diká,-,-,-,-,-,dika
dikén,"cloth ring placed on head under pot, basket being carried",cloth ring,Dictionary D,"{""root"":""dikén"",""processes"":[]}",dikén,-,-,-,-,-,diken
díket,stain left by drops of liquid,stain,Dictionary D,"{""root"":""díket"",""processes"":[]}",díket,-,-,-,-,-,diket
dikíng,side (of person or object),side,Dictionary D,"{""root"":""dikíng"",""processes"":[]}",dikíng,-,-,-,-,-,diking
dilá,tongue,tongue,Dictionary D,"{""root"":""dilá"",""processes"":[]}",dilá,-,-,-,-,-,dila
dilamós,to wash the face (man -),wash,Dictionary D,"{""root"":""dilamós"",""processes"":[]}",dilamós,-,-,-,-,-,dilamos
dilát,to stick out the tongue,stick out,Dictionary D,"{""root"":""dilát"",""processes"":[]}",dilát,-,-,-,-,-,dilat
díldil,"to lick a plate clean, lap up (man -)",lick,Dictionary D,"{""root"":""díldil"",""processes"":[]}",díldil,-,-,-,-,-,dildil
díli,"self, (one’s) own",self,Dictionary D,"{""root"":""díli"",""processes"":[]}",díli,-,-,-,-,-,dili
díloy,sweetness (e.g. of love),sweetness,Dictionary D,"{""root"":""díloy"",""processes"":[]}",díloy,-,-,-,-,-,diloy
dimán,there,there,Dictionary D,"{""root"":""dimán"",""processes"":[]}",dimán,-,-,-,-,-,diman
dínan,which (interrogative),which,Dictionary D,"{""root"":""dín"",""processes"":[{""type"":""suffix"",""meaning"":""locative/referent focus (non-completed)"",""form"":""-an"",""normalized_form"":""an""}]}",dín,"{""type"":""suffix"",""meaning"":""locative/referent focus (non-completed)"",""form"":""-an"",""normalized_form"":""an""}",suffix,locative/referent focus (non-completed),-,-an,dinan
díno,else,else,Dictionary D,"{""root"":""díno"",""processes"":[]}",díno,-,-,-,-,-,dino
dinték,something finely made and aligned,flawless,Dictionary D,"{""root"":""dték"",""processes"":[{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":1}]}",dték,"{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":1}",infix,completed aspect marker,-,-in-,dintek
marinték,exactly and finely made in line,flawless,Dictionary D,"{""root"":""rték"",""processes"":[{""type"":""prefix"",""meaning"":""causative / stative"",""form"":""ma-"",""normalized_form"":""ma""},{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":1}]}",rték,"{""type"":""prefix"",""meaning"":""causative / stative"",""form"":""ma-"",""normalized_form"":""ma""},{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":1}",prefix,causative / stative,-,ma-,marintek
díñgdiñg,wall; to wall a house etc. (man -),wall,Dictionary D,"{""root"":""díñgdiñg"",""processes"":[]}",díñgdiñg,-,-,-,-,-,dingding
diñgót,"dirt, mess; become dirty (on -)",dirt,Dictionary D,"{""root"":""diñgót"",""processes"":[]}",diñgót,-,-,-,-,-,dingot
mariñgót,dirty; dirty clothing ready for washing,dirty,Dictionary D,"{""root"":""riñgót"",""processes"":[{""type"":""prefix"",""meaning"":""causative / stative"",""form"":""ma-"",""normalized_form"":""ma""}]}",riñgót,"{""type"":""prefix"",""meaning"":""causative / stative"",""form"":""ma-"",""normalized_form"":""ma""}",prefix,causative / stative,-,ma-,maringot
Diós,God,god,Dictionary D,"{""root"":""Diós"",""processes"":[]}",Diós,-,-,-,-,-,dios
diósa,"goddess, (woman of) great beauty",goddess,Dictionary D,"{""root"":""diósa"",""processes"":[]}",diósa,-,-,-,-,-,diosa
diplóma,"diploma, academic degree, certificate of completion (of schooling, course, etc.)",diploma,Dictionary D,"{""root"":""diplóma"",""processes"":[]}",diplóma,-,-,-,-,-,diploma
diputádo,congressman,congressman,Dictionary D,"{""root"":""diputádo"",""processes"":[]}",diputádo,-,-,-,-,-,diputado
directória,directorate (esp. committee of leaders of political party),drectorate,Dictionary D,"{""root"":""directória"",""processes"":[]}",directória,-,-,-,-,-,directoria
dirlíñg,to listen attentively,listen,Dictionary D,"{""root"":""dirlíñg"",""processes"":[]}",dirlíñg,-,-,-,-,-,dirling
dirósa,pink; become pink (on -),pink,Dictionary D,"{""root"":""dirósa"",""processes"":[]}",dirósa,-,-,-,-,-,dirosa
disgústo,"displeased, displeasure",displeased,Dictionary D,"{""root"":""disgús"",""processes"":[{""type"":""suffix"",""meaning"":""3sg genitive enclitic"",""form"":""-to"",""normalized_form"":""to""}]}",disgús,"{""type"":""suffix"",""meaning"":""3sg genitive enclitic"",""form"":""-to"",""normalized_form"":""to""}",suffix,3sg genitive enclitic,-,-to,disgusto
dismáyo,"discouraged, disappointed",discouraged,Dictionary D,"{""root"":""dismá"",""processes"":[{""type"":""suffix"",""meaning"":""2pl genitive enclitic"",""form"":""-yo"",""normalized_form"":""yo""}]}",dismá,"{""type"":""suffix"",""meaning"":""2pl genitive enclitic"",""form"":""-yo"",""normalized_form"":""yo""}",suffix,2pl genitive enclitic,-,-yo,dismayo
distánsia,distance,distance,Dictionary D,"{""root"":""distánsia"",""processes"":[]}",distánsia,-,-,-,-,-,distansia
distríto,district (esp. congressional district),district,Dictionary D,"{""root"":""distrí"",""processes"":[{""type"":""suffix"",""meaning"":""3sg genitive enclitic"",""form"":""-to"",""normalized_form"":""to""}]}",distrí,"{""type"":""suffix"",""meaning"":""3sg genitive enclitic"",""form"":""-to"",""normalized_form"":""to""}",suffix,3sg genitive enclitic,-,-to,distrito
ditá,"venom, poison secreted by snakes and other animals; to smear poison on an arrow head etc.",venom,Dictionary D,"{""root"":""ditá"",""processes"":[]}",ditá,-,-,-,-,-,dita
ditán,there (near addressee),there,Dictionary D,"{""root"":""ditán"",""processes"":[]}",ditán,-,-,-,-,-,ditan
diwít,"to touch lightly, e.g. with the tips of one’s fingers",touch,Dictionary D,"{""root"":""diwít"",""processes"":[]}",diwít,-,-,-,-,-,diwit
duá,two,two,Dictionary D,"{""root"":""duá"",""processes"":[]}",duá,-,-,-,-,-,dua
duámplo,twenty,twenty,Dictionary D,"{""root"":""duámplo"",""processes"":[]}",duámplo,-,-,-,-,-,duamplo
duanlasós,two hundred,two hundred,Dictionary D,"{""root"":""duanlasós"",""processes"":[]}",duanlasós,-,-,-,-,-,duanlasos
duduára,two only,two only,Dictionary D,"{""root"":""duára"",""processes"":[{""type"":""reduplication"",""meaning"":""partial reduplication (plural nouns)"",""form"":""CV-"",""normalized_form"":""CV"",""partial_chunk"":""du""}]}",duára,"{""type"":""reduplication"",""meaning"":""partial reduplication (plural nouns)"",""form"":""CV-"",""normalized_form"":""CV"",""partial_chunk"":""du""}",reduplication,partial reduplication (plural nouns),du,CV-,duduara
duára,two individuals,two individuals,Dictionary D,"{""root"":""duára"",""processes"":[]}",duára,-,-,-,-,-,duara
komaduá,second in order,second in order,Dictionary D,"{""root"":""komaduá"",""processes"":[]}",komaduá,-,-,-,-,-,komadua
komalabinduá,twelfth,twelfth,Dictionary D,"{""root"":""komalabduá"",""processes"":[{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":7}]}",komalabduá,"{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":7}",infix,completed aspect marker,-,-in-,komalabindua
labinduá,twelve,twelve,Dictionary D,"{""root"":""labduá"",""processes"":[{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":3}]}",labduá,"{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":3}",infix,completed aspect marker,-,-in-,labindua
lablabinduá,twelve only,twelve only,Dictionary D,"{""root"":""labduá"",""processes"":[{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":6},{""type"":""reduplication"",""meaning"":""partial reduplication (plural nouns)"",""form"":""CVC-"",""normalized_form"":""CVC"",""partial_chunk"":""lab""}]}",labduá,"{""type"":""infix"",""meaning"":""completed aspect marker"",""form"":""-in-"",""normalized_form"":""in"",""position"":6},{""type"":""reduplication"",""meaning"":""partial reduplication (plural nouns)"",""form"":""CVC-"",""normalized_form"":""CVC"",""partial_chunk"":""lab""}",infix,completed aspect marker,lab,-in-,lablabindua
maminduá,"twice, two times",twice,Dictionary D,"{""root"":""nduá"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating, non-completed)"",""form"":""maN-"",""normalized_form"":""ma"",""applied_allomorph"":""m""},{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}]}",nduá,"{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating, non-completed)"",""form"":""maN-"",""normalized_form"":""ma"",""applied_allomorph"":""m""},{""type"":""prefix"",""meaning"":""theme/goal or benefactive focus (non-completed)"",""form"":""i-"",""normalized_form"":""i""}",nasal_prefix,"actor focus (nasal-assimilating, non-completed)",-,maN-,mamindua
pídua,second time,second time,Dictionary D,"{""root"":""pídua"",""processes"":[]}",pídua,-,-,-,-,-,pidua
sandérua,two by two; two each,two by two,Dictionary D,"{""root"":""sandérua"",""processes"":[]}",sandérua,-,-,-,-,-,sanderua
duarúa,fickle mind; doubts,doubts,Dictionary D,"{""root"":""duarúa"",""processes"":[]}",duarúa,-,-,-,-,-,duarua
dóble,double,double,Dictionary D,"{""root"":""dóble"",""processes"":[]}",dóble,-,-,-,-,-,doble
duég,carabao,carabao,Dictionary D,"{""root"":""duég"",""processes"":[]}",duég,-,-,-,-,-,dueg
duÉto,duet; sing etc. a duet (man -),duet,Dictionary D,"{""root"":""duÉ"",""processes"":[{""type"":""suffix"",""meaning"":""3sg genitive enclitic"",""form"":""-to"",""normalized_form"":""to""}]}",duÉ,"{""type"":""suffix"",""meaning"":""3sg genitive enclitic"",""form"":""-to"",""normalized_form"":""to""}",suffix,3sg genitive enclitic,-,-to,dueto
dúga,"enough, fit; to fit well, be just enough (on-)",enough,Dictionary D,"{""root"":""dúga"",""processes"":[]}",dúga,-,-,-,-,-,duga
duká,beggar,beggar,Dictionary D,"{""root"":""duká"",""processes"":[]}",duká,-,-,-,-,-,duka
dukámat,"mention something unintentionally, let slip",slip,Dictionary D,"{""root"":""dukámat"",""processes"":[]}",dukámat,-,-,-,-,-,dukamat
dukámil,"poor work, messy condition or appearance of something done",poor work,Dictionary D,"{""root"":""dukámil"",""processes"":[]}",dukámil,-,-,-,-,-,dukamil
dokdók,to pick up or raise something from the floor (maN -),pick up,Dictionary D,"{""root"":""dokdók"",""processes"":[]}",dokdók,-,-,-,-,-,dokdok
dukéy,length,length,Dictionary D,"{""root"":""dukéy"",""processes"":[]}",dukéy,-,-,-,-,-,dukey
andukéy,"long; become long, be elongated (on-)",long,Dictionary D,"{""root"":""dukéy"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating, completed)"",""form"":""aN-"",""normalized_form"":""a"",""applied_allomorph"":""n""}]}",dukéy,"{""type"":""nasal_prefix"",""meaning"":""actor focus (nasal-assimilating, completed)"",""form"":""aN-"",""normalized_form"":""a"",""applied_allomorph"":""n""}",nasal_prefix,"actor focus (nasal-assimilating, completed)",-,aN-,andukey
dukiáng,a very small variety of clam,clam,Dictionary D,"{""root"":""dukiáng"",""processes"":[]}",dukiáng,-,-,-,-,-,dukiang
dúklos,to hit (on -),hit,Dictionary D,"{""root"":""dúklos"",""processes"":[]}",dúklos,-,-,-,-,-,duklos
dúknal,"to attend, be present at a gathering, party, etc. (on -)",attend,Dictionary D,"{""root"":""dúknal"",""processes"":[]}",dúknal,-,-,-,-,-,duknal
dokól,to lie down (on -),lie down,Dictionary D,"{""root"":""dokól"",""processes"":[]}",dokól,-,-,-,-,-,dokol
docomÉnto,document,document,Dictionary D,"{""root"":""docomÉn"",""processes"":[{""type"":""suffix"",""meaning"":""3sg genitive enclitic"",""form"":""-to"",""normalized_form"":""to""}]}",docomÉn,"{""type"":""suffix"",""meaning"":""3sg genitive enclitic"",""form"":""-to"",""normalized_form"":""to""}",suffix,3sg genitive enclitic,-,-to,docomento
dókot,"kidnapping, pickpocketing; to kidnap (maN -)",pickpocketing,Dictionary D,"{""root"":""dókot"",""processes"":[]}",dókot,-,-,-,-,-,dokot
duksá,"cruelty, violence",cruelty,Dictionary D,"{""root"":""duksá"",""processes"":[]}",duksá,-,-,-,-,-,duksa
maruksá,"cruel, severe",cruel,Dictionary D,"{""root"":""ruksá"",""processes"":[{""type"":""prefix"",""meaning"":""causative / stative"",""form"":""ma-"",""normalized_form"":""ma""}]}",ruksá,"{""type"":""prefix"",""meaning"":""causative / stative"",""form"":""ma-"",""normalized_form"":""ma""}",prefix,causative / stative,-,ma-,maruksa
dóctor,doctor; study to become a doctor (man -),doctor,Dictionary D,"{""root"":""dóctor"",""processes"":[]}",dóctor,-,-,-,-,-,doctor
dolákak,egret,wading birds,Dictionary D,"{""root"":""dolákak"",""processes"":[]}",dolákak,-,-,-,-,-,dolakak
dúlang,low table for use by persons squatting on floor,table,Dictionary D,"{""root"":""dúlang"",""processes"":[]}",dúlang,-,-,-,-,-,dulang
dolíng,cross eyed,cross eyed,Dictionary D,"{""root"":""dolíng"",""processes"":[]}",dolíng,-,-,-,-,-,doling
dológ,to (present a) petition to a superior court (on-),petition,Dictionary D,"{""root"":""dológ"",""processes"":[]}",dológ,-,-,-,-,-,dolog
"dólyar, dóllar /dólyar/dollar",(plural: dolyárEs),dollar,Dictionary D,"{""root"":""dólyar, dóllar /dólyar/dollar"",""processes"":[]}","dólyar, dóllar /dólyar/dollar",-,-,-,-,-,"dolyar, dollar /dolyar/dollar"
dumá,different; be different (man -); become different (on -),different,Dictionary D,"{""root"":""dumá"",""processes"":[]}",dumá,-,-,-,-,-,duma
nidumá,abnormal,abnormal,Dictionary D,"{""root"":""nidumá"",""processes"":[]}",nidumá,-,-,-,-,-,niduma
nirumárumá,unique,unique,Dictionary D,"{""root"":""nirumárumá"",""processes"":[]}",nirumárumá,-,-,-,-,-,nirumaruma
domég,"to hang one’s head (in shame, embarrassment, etc.) (on -)",shameful,Dictionary D,"{""root"":""domég"",""processes"":[]}",domég,-,-,-,-,-,domeg
dómog,"to find, come across unexpectedly",find,Dictionary D,"{""root"":""dómog"",""processes"":[]}",dómog,-,-,-,-,-,domog
dúmsis,"lie, evil doing",lie,Dictionary D,"{""root"":""dúmsis"",""processes"":[]}",dúmsis,-,-,-,-,-,dumsis
madúmsis,liar,liar,Dictionary D,"{""root"":""dúmsis"",""processes"":[{""type"":""prefix"",""meaning"":""causative / stative"",""form"":""ma-"",""normalized_form"":""ma""}]}",dúmsis,"{""type"":""prefix"",""meaning"":""causative / stative"",""form"":""ma-"",""normalized_form"":""ma""}",prefix,causative / stative,-,ma-,madumsis
Don,honorific title preceding Christian name families and also barrio captains,Don,Dictionary D,"{""root"":""Don"",""processes"":[]}",Don,-,-,-,-,-,don
dóndon,"to accomplish, fulfill (on -)",accomplish,Dictionary D,"{""root"":""dóndon"",""processes"":[]}",dóndon,-,-,-,-,-,dondon
dónoñg,"skill, good qualities",skill,Dictionary D,"{""root"":""dónoñg"",""processes"":[]}",dónoñg,-,-,-,-,-,donong
marónoñg,skilled,skilled,Dictionary D,"{""root"":""rónoñg"",""processes"":[{""type"":""prefix"",""meaning"":""causative / stative"",""form"":""ma-"",""normalized_form"":""ma""}]}",rónoñg,"{""type"":""prefix"",""meaning"":""causative / stative"",""form"":""ma-"",""normalized_form"":""ma""}",prefix,causative / stative,-,ma-,maronong
Doña,honorific title preceding Christian name notable family; also used to denote woman given to asserting superiority etc.,Donya,Dictionary D,"{""root"":""Doña"",""processes"":[]}",Doña,-,-,-,-,-,dona
doñgáp,to breathe heavily from illness or exhaustion (man -),breathe heavily,Dictionary D,"{""root"":""doñgáp"",""processes"":[]}",doñgáp,-,-,-,-,-,dongap
doñgáw,to look out of the window (on -),look out,Dictionary D,"{""root"":""doñgáw"",""processes"":[]}",doñgáw,-,-,-,-,-,dongaw
dorongáwen,window,window,Dictionary D,"{""root"":""dorongáw"",""processes"":[{""type"":""suffix"",""meaning"":""patient focus (non-completed)"",""form"":""-en"",""normalized_form"":""en""}]}",dorongáw,"{""type"":""suffix"",""meaning"":""patient focus (non-completed)"",""form"":""-en"",""normalized_form"":""en""}",suffix,patient focus (non-completed),-,-en,dorongawen
doñgét,to come out of a room etc. (on -),come out,Dictionary D,"{""root"":""doñgét"",""processes"":[]}",doñgét,-,-,-,-,-,donget
doñgó,to go to eat at the table (on -); meet someone face to face,go eat,Dictionary D,"{""root"":""doñgó"",""processes"":[]}",doñgó,-,-,-,-,-,dongo
paroñgó,"conduct guests to the table, have guests for dinner (man -); serve (food) (i -)",guest,Dictionary D,"{""root"":""roñgó"",""processes"":[{""type"":""prefix"",""meaning"":""causative/allowative"",""form"":""pa-"",""normalized_form"":""pa""}]}",roñgó,"{""type"":""prefix"",""meaning"":""causative/allowative"",""form"":""pa-"",""normalized_form"":""pa""}",prefix,causative/allowative,-,pa-,parongo
pandoroñgoán,celebration‚ get-together,celebration,Dictionary D,"{""root"":""doroñgoán"",""processes"":[{""type"":""nasal_prefix"",""meaning"":""causative/instrumental nasal-assimilating"",""form"":""paN-"",""normalized_form"":""pa"",""applied_allomorph"":""n""}]}",doroñgoán,"{""type"":""nasal_prefix"",""meaning"":""causative/instrumental nasal-assimilating"",""form"":""paN-"",""normalized_form"":""pa"",""applied_allomorph"":""n""}",nasal_prefix,causative/instrumental nasal-assimilating,-,paN-,pandorongoan
doóñg,"to anchor, moor",anchor,Dictionary D,"{""root"":""doóñg"",""processes"":[]}",doóñg,-,-,-,-,-,doong
dorooñgán,"port; entrance, gateway",port,Dictionary D,"{""root"":""dorooñgán"",""processes"":[]}",dorooñgán,-,-,-,-,-,doroongan
doót,to kill (on -),kill,Dictionary D,"{""root"":""doót"",""processes"":[]}",doót,-,-,-,-,-,doot
dopág,"presence of many people at a gathering, funeral, etc.; to be present at such a gathering (on -)",gathering,Dictionary D,"{""root"":""dopág"",""processes"":[]}",dopág,-,-,-,-,-,dopag
dopíkpik,to waddle,waddle,Dictionary D,"{""root"":""dopíkpik"",""processes"":[]}",dopíkpik,-,-,-,-,-,dopikpik
dopisák,"to sit in a relaxed or carefree manner, to sprawl (on -)",sit,Dictionary D,"{""root"":""dopisák"",""processes"":[]}",dopisák,-,-,-,-,-,dopisak
dupóñg,"group of persons, meeting of two or more persons",group meeting,Dictionary D,"{""root"":""dupóñg"",""processes"":[]}",dupóñg,-,-,-,-,-,dupong
durón,winged stage of locust or grasshopper,grasshopper,Dictionary D,"{""root"":""durón"",""processes"":[]}",durón,-,-,-,-,-,duron
dórot,poke someone with a stick or finger,poke,Dictionary D,"{""root"":""dórot"",""processes"":[]}",dórot,-,-,-,-,-,dorot
dos,"two (time, money, etc.)",two,Dictionary D,"{""root"":""dos"",""processes"":[]}",dos,-,-,-,-,-,dos
dosá,punishment (general term),punishment,Dictionary D,"{""root"":""dosá"",""processes"":[]}",dosá,-,-,-,-,-,dosa
dósE,"twelve (time, money, etc.)",twelve,Dictionary D,"{""root"":""dósE"",""processes"":[]}",dósE,-,-,-,-,-,dose
duták,"dirt, filth, mess; to scatter dirt etc. (man -)",dirt,Dictionary D,"{""root"":""duták"",""processes"":[]}",duták,-,-,-,-,-,dutak
maruták,"dirty, messy",dirty,Dictionary D,"{""root"":""ruták"",""processes"":[{""type"":""prefix"",""meaning"":""causative / stative"",""form"":""ma-"",""normalized_form"":""ma""}]}",ruták,"{""type"":""prefix"",""meaning"":""causative / stative"",""form"":""ma-"",""normalized_form"":""ma""}",prefix,causative / stative,-,ma-,marutak
duyáw,yellow,yellow,Dictionary D,"{""root"":""duyáw"",""processes"":[]}",duyáw,-,-,-,-,-,duyaw
dóyo,to attract the senses,attract,Dictionary D,"{""root"":""dó"",""processes"":[{""type"":""suffix"",""meaning"":""2pl genitive enclitic"",""form"":""-yo"",""normalized_form"":""yo""}]}",dó,"{""type"":""suffix"",""meaning"":""2pl genitive enclitic"",""form"":""-yo"",""normalized_form"":""yo""}",suffix,2pl genitive enclitic,-,-yo,doyo
makaróyo,inviting fragrance,fragrance,Dictionary D,"{""root"":""karó"",""processes"":[{""type"":""prefix"",""meaning"":""causative / stative"",""form"":""ma-"",""normalized_form"":""ma""},{""type"":""suffix"",""meaning"":""2pl genitive enclitic"",""form"":""-yo"",""normalized_form"":""yo""}]}",karó,"{""type"":""prefix"",""meaning"":""causative / stative"",""form"":""ma-"",""normalized_form"":""ma""},{""type"":""suffix"",""meaning"":""2pl genitive enclitic"",""form"":""-yo"",""normalized_form"":""yo""}",prefix,causative / stative,-,ma-,makaroyo
doyók,to thrust (man -),thrust,Dictionary D,"{""root"":""doyók"",""processes"":[]}",doyók,-,-,-,-,-,doyok
dráma,(theatrical) play,play,Dictionary D,"{""root"":""dráma"",""processes"":[]}",dráma,-,-,-,-,-,drama
pidráma,to cast in a play,cast,Dictionary D,"{""root"":""pidráma"",""processes"":[]}",pidráma,-,-,-,-,-,pidrama
jeepney,"/dyípni/ ‘jeepney’, a mini-bus made from a Jeep",jeepney,Dictionary D,"{""root"":""jeepney"",""processes"":[]}",jeepney,-,-,-,-,-,jeepney
e,"interjection usu. to get or maintain attention of addressee, draw atention to what one has said, etc.",e,Dictionary E,"{""root"":""e"",""processes"":[]}",e,-,-,-,-,-,e
Earopláno,airplane,airplane,Dictionary E,"{""root"":""Earopláno"",""processes"":[]}",Earopláno,-,-,-,-,-,earoplano
ebá,to carry (esp. carry a child) (man -),carry,Dictionary E,"{""root"":""ebá"",""processes"":[]}",ebá,-,-,-,-,-,eba
1e,bákto peel (a fruit etc.) (man -) 2ebák= ebá,e,Dictionary E,"{""root"":""1e"",""processes"":[]}",1e,-,-,-,-,-,1e
Evaporáda,evaporated; evaporated milk,evaporated milk,Dictionary E,"{""root"":""Evaporá"",""processes"":[{""type"":""suffix"",""meaning"":""3pl genitive enclitic"",""form"":""-da"",""normalized_form"":""da""}]}",Evaporá,"{""type"":""suffix"",""meaning"":""3pl genitive enclitic"",""form"":""-da"",""normalized_form"":""da""}",suffix,3pl genitive enclitic,-,-da,evaporada
ebát,"reply, answer; to answer (on -)",reply,Dictionary E,"{""root"":""ebát"",""processes"":[]}",ebát,-,-,-,-,-,ebat
ebéb,"a variety of banana with large sweet fruit,",banana,Dictionary E,"{""root"":""ebéb"",""processes"":[]}",ebéb,-,-,-,-,-,ebeb
ébeg,"(of a lover) jealousy, possessiveness; to become jealous (on-)",jealousy,Dictionary E,"{""root"":""ébeg"",""processes"":[]}",ébeg,-,-,-,-,-,ebeg
ebéñg,thinness; become thin (on -),thinness,Dictionary E,"{""root"":""ebéñg"",""processes"":[]}",ebéñg,-,-,-,-,-,ebeng
mabéñg,"thin, lean",thin,Dictionary E,"{""root"":""béñg"",""processes"":[{""type"":""prefix"",""meaning"":""causative / stative"",""form"":""ma-"",""normalized_form"":""ma""}]}",béñg,"{""type"":""prefix"",""meaning"":""causative / stative"",""form"":""ma-"",""normalized_form"":""ma""}",prefix,causative / stative,-,ma-,mabeng
ebés,"to be behind time, too late; of rice: maturing too late, therefore with little harvestable grain",late,Dictionary E,"{""root"":""ebés"",""processes"":[]}",ebés,-,-,-,-,-,ebes
ebét,"anus, rectum",ass,Dictionary E,"{""root"":""ebét"",""processes"":[]}",ebét,-,-,-,-,-,ebet
ed,"marker for unfocused referent in verbal sentences; to, for, at, on",to,Dictionary E,"{""root"":""ed"",""processes"":[]}",ed,-,-,-,-,-,ed
Edád,age,age,Dictionary E,"{""root"":""Edád"",""processes"":[]}",Edád,-,-,-,-,-,edad
educación,education,education,Dictionary E,"{""root"":""educación"",""processes"":[]}",educación,-,-,-,-,-,educacion
egáb,yawn; to yawn (man -),yawn,Dictionary E,"{""root"":""egáb"",""processes"":[]}",egáb,-,-,-,-,-,egab
egát,eel,eel,Dictionary E,"{""root"":""egát"",""processes"":[]}",egát,-,-,-,-,-,egat
egés,"abdomen, stomach, belly",abdomen,Dictionary E,"{""root"":""egés"",""processes"":[]}",egés,-,-,-,-,-,eges
egná,to hold (man -),hold,Dictionary E,"{""root"":""egná"",""processes"":[]}",egná,-,-,-,-,-,egna
égpañg,to compare (man -),compare,Dictionary E,"{""root"":""égpañg"",""processes"":[]}",égpañg,-,-,-,-,-,egpang
ekál,"to remove, take off, get out (on -)",remove,Dictionary E,"{""root"":""ekál"",""processes"":[]}",ekál,-,-,-,-,-,ekal
ekát,"absence of water in a river, brook, etc.; to",absence of water,Dictionary E,"{""root"":""ekát"",""processes"":[]}",ekát,-,-,-,-,-,ekat
reduce,the amount of water (on -),water,Dictionary E,"{""root"":""reduce"",""processes"":[]}",reduce,-,-,-,-,-,reduce
