word,syllables,meaning,tag,english,filipino
bularan,bu-la-ran,talkative,ADJ/ADV,talkative,madaldal
bulag,bu-lag,blind,STAT/ADJ/ADV,blind,bulag
bulag,bu-lag,a blind person,NOUN,a,a
bulan,bu-lan,moon or month,NOUN,moon,buwan
bulangisngis,bu-lan-gisn-gis,a kind of bat,NOUN,ding,ding
bulasan,bu-la-san,be spoken likely,VERB,be,maging
bulati,bu-la-ti,worm,NOUN,worm,worm
mabulati,ma-bu-la-ti,worm infested,ADJ/ADV,worm,worm
makabulati,ma-ka-bu-la-ti,likely to give worms,ADJ/ADV,secure,ligtas
bulbul,bul-bul,down small feathers or hair,NOUN,dander,dander
bulbul kilikili,bul-bul -ki-li-ki-li,hair in armpits,NOUN,hair,buhok
mabulbul,ma-bul-bul,with abundant down,ADJ/ADV,with,kasama
bulbulin,bul-bu-lin,hairy,ADJ/ADV,hairy,mabalahibo
mamulmul,ma-mul-mul,defeather,VERB,defeather,defeather
makapamulmul,ma-ka-pa-mul-mul,can defeather,VERB,can,maaari
bulkan,bul-kan,volcano,NOUN,volcano,bulkan
buldit,bul-dit,buttocks,NOUN,buttocks,puwit
bulditan,bul-di-tan,strike in buttocks,VERB,strike,hampasin
bilditan,bil-di-tan,struck in buttocks,VERB,struck,sinaktan
bule,bu-le,a kind of vegetable,NOUN,potherb,potherb
bulig,bu-lig,mudfish,NOUN,mudfish,mudfish
buluq,bu-luq,rice dust,NOUN,rice,bigas
buluq,bu-luq,fine hairs on stalk of sugar cane,NOUN,plant-cane,plant-cane
buluq,bu-luq,a wild bamboo used to make sawali walling material,NOUN,brick,ladrilyo
mikibuluq,mi-ki-bu-luq,fuzzy,NOUN,fuzzy,malabo
buluk,bu-luk,rotten or fetid,ADJ/ADV,rotten,bulok
pabuluk,pa-bu-luk,allow to become fetid,VERB,unbend,mag -unbend
bulugan,bu-lu-gan,stud,NOUN,stud,stud
bulung,bu-lung,leaf or page of a book,NOUN,verso,verso
mabulung,ma-bu-lung,leafy,ADJ/ADV,leafy,dead
bulung,bu-lung,whisper,VERB,whisper,bulong
bulungan,bu-lun-gan,whisper something,VERB,whisper,bulong
bulungan,bu-lun-gan,a kind of banana green and about 10 inches long,NOUN,dish,ulam
bulusbubulus,bu-lus-bu-bu-lus,rush into something,VERB,rush,magmadali
bulutung,bu-lu-tung,smallpox,NOUN,smallpox,bulutong
bulutungan,bu-lu-tun-gan,smallpox victim,NOUN,smallpox,bulutong
bulyo,bul-yo,shout,VERB,shout,sigaw
bulyon,bul-yon,shout at someone,VERB,shout,sigaw
bumba,bum-ba,pump or spray,VERB,pump,pump
bumban,bum-ban,spray something,VERB,spray,spray
ibumba,i-bum-ba,spray something for one,VERB,dust,alikabok
pamumban,pa-mum-ban,have sexual intercourse,VERB,have,mayroon
buangin,bu-an-gin,a kind of soil mixed clay and sand,NOUN,loam,loam
buis,bu-is,tax or rent or income or revenue,NOUN,rente,renta
puto bumbong,pu-to -bum-bong,a kind of bamboo rice cake steamed through bamboo tubes,NOUN,pipe,pipe
bumbu,bum-bu,fontanel,NOUN,fontanel,fontanel
bunduk,bun-duk,mountain,NOUN,mountain,mountain
bundukbundukan,bun-duk-bun-du-kan,hilly land,NOUN,hilly,maburol
bulubundukan,bu-lu-bun-du-kan,the mountain provinces,NOUN,the,ang
mabunduk,ma-bun-duk,mountainuous,ADJ/ADV,mountainuous,mouthuous
bunga,bun-ga,fruit,NOUN,fruit,prutas
bungang aldo,bun-gang- al-do,heat rash,NOUN,heat,init
mamunga,ma-mun-ga,bear fruit,VERB,bear,bear
pabungan,pa-bun-gan,share crop,VERB,share,ibahagi
mabunga,ma-bun-ga,bearing fruit abundantly,VERB,bearing,nagdadala
bungal,bun-gal,lacking front teeth,ADJ/ADV,lacking,kulang
bungangaq,bun-gan-gaq,whistle or loud sudden noise,NOUN,crash,pag -crash
bungiq,bun-giq,split or shattered or having a harelip or lacking front teeth,ADJ/ADV/STAT,wheel,gulong
bunitil,bu-ni-til,one grain of rice,NOUN,corn,mais
bunsu,bun-su,baby or youngest in a family,NOUN,boots,bota
pekabunsu,pe-ka-bun-su,the youngest,NOUN,the,ang
bunsul,bun-sul,unconscious,ADJ/ADV/STAT,unconscious,walang malay
bunsulan,bun-su-lan,knock someone unconscious,VERB,knock,kumatok
buntal,bun-tal,a hat made of woven and starched reeds or grasses,NOUN,cane,baston
buntuk,bun-tuk,head,NOUN,head,ulo
buntuk,bun-tuk,chief or front of truck,NOUN,cab,taksi
mamuntuk,ma-mun-tuk,carry on head,VERB,carry,dalhin
buntun,bun-tun,pile or stack,NOUN,pile,tumpok
buntunare,bun-tu-na-re,haystack,NOUN,haystack,haystack
bunut,bu-nut,coconut husk used for polishing floors,NOUN,rubber,goma
bunutan,bu-nu-tan,husk polish something,VERB,husk,husk
bunwan,bun-wan,small fish corral,NOUN,small,maliit
buran,bu-ran,erase something,VERB,erase,burahin
pamura,pa-mu-ra,eraser,NOUN,eraser,bura
mabura,ma-bu-ra,erased,ADJ/ADV,erased,tinanggal
burak,bu-rak,mud,NOUN,mud,putik
burakbitis,bu-rak-bi-tis,farmer,NOUN,farmer,magsasaka
burakan,bu-ra-kan,a muddy place,NOUN,a,a
pipagburakan,pi-pag-bu-ra-kan,wallowing hole,NOUN,wallowing,pag -wallowing
maburak,ma-bu-rak,muddy,ADJ/ADV,muddy,muddy
buburakan,bu-bu-ra-kan,put in mud,VERB,put,ilagay
magburak,mag-bu-rak,play with mud,VERB,play,maglaro
buraldal,bu-ral-dal,clumsy,ADJ/ADV,clumsy,clumsy
burarul,bu-ra-rul,kite,NOUN,kite,saranggola
pipagburarulan,pi-pag-bu-ra-ru-lan,place to fly kite,NOUN,flies,lilipad
burat,bu-rat,pull back foreskin of penis,VERB,phimosis,phimosis
buri,bu-ri,like or want or find pleasure in,VERB,liked,nagustuhan
buriq,bu-riq,like or want or find pleasure in,VERB,liked,nagustuhan
paburiq,pa-bu-riq,make self liked,VERB,make,gumawa
buriq,bu-riq,thing liked,NOUN,thing,bagay
buro,bu-ro,preserved eggs or red eggs,NOUN,pidan,pidan
makapamuro,ma-ka-pa-mu-ro,to salt to preserve,VERB,corn,mais
makaburul,ma-ka-bu-rul,lie in state,ADJ/ADV/STAT,lie,kasinungalingan
burungburung,bu-rung-bu-rung,head of penis,NOUN,head,ulo
busa,bu-sa,popped,VERB/ADJ/ADV/STAT,popped,popped
busang mais,bu-sang -ma-is,popcorn,VERB/ADJ/ADV/STAT,popcorn,popcorn
busal,bu-sal,insert between two things,VERB,sandwich,sandwich
busal ning mais,bu-sal -ning -ma-is,corn cob,NOUN,corn,mais
busalan,bu-sa-lan,hit someone with raised knuckle,VERB,batter,batter
busbus,bus-bus,hole,NOUN,hole,hole
busbus ipan,bus-bus- i-pan,cavity,NOUN,cavity,cavity
busbus arung,bus-bus- a-rung,nostril,NOUN,nostril,nostril
busbus butunis,bus-bus -bu-tu-nis,button hole,NOUN,button,pindutan
busbusan,bus-bu-san,bore or poke holes,VERB,hole,hole
bisbusan,bis-bu-san,penetrate a virgin,VERB,penetrate,tumagos
busina,bu-si-na,horn,NOUN,horn,horn
bubusina,bu-bu-si-na,blow horn,VERB,blow,pumutok
busluq,bus-luq,basket,NOUN,basket,basket
busniq,bus-niq,opened or unlocked,ADJ/ADV/STAT,opened,binuksan
ibusniq,i-bus-niq,open something,VERB,open,buksan
butil,bu-til,kernel or grain,NOUN,kernel,kernel
butit,bu-tit,calf of leg,NOUN,calf,guya
butitan,bu-ti-tan,hit in calf,VERB,hit,tumama
butuq,bu-tuq,penis,NOUN,penis,titi
butul,bu-tul,seed or stone or bone,NOUN,kernel,kernel
pangabutul,pan-ga-bu-tul,size of seed,NOUN,size,laki
utak ning butul,u-tak -ning -bu-tul,bone marrow,NOUN,bone,bone
mikibutul,mi-ki-bu-tul,having seeds,ADJ/ADV,acinaceous,acinaceous
butunisbitunis,bu-tu-nis-bi-tu-nis,buttons,NOUN,buttons,mga pindutan
butunisan,bu-tu-ni-san,button something up,VERB,button,pindutan
mamutunis,ma-mu-tu-nis,one who puts on button,VERB,signs,mga palatandaan
makapamutunis,ma-ka-pa-mu-tu-nis,can sew on button,VERB,buttonhole,buttonhole
buwat,bu-wat,lift or carry,VERB,lift,iangat
buat,bu-at,lift or carry,VERB,lift,iangat
bwak,b-wak,hair,NOUN,hair,buhok
bwakbwakan,b-wakb-wa-kan,hair on arms or forehead,NOUN,border,hangganan
bwakbwakin,b-wakb-wa-kin,hair on arms or forehead,NOUN,border,hangganan
mabuak,ma-bu-ak,have hair on,ADJ/ADV,have,mayroon
bwisit,b-wi-sit,pest or disturbance or bore or nuisance,NOUN,plague,plague
buwisit,bu-wi-sit,pest or disturbance or bore or nuisance,NOUN,plague,plague
busit,bu-sit,pest or disturbance or bore or nuisance,NOUN,plague,plague
bwisitan,b-wi-si-tan,bother someone,VERB,bother,mag -abala
byakus,b-ya-kus,pocket shaped fishing net used by one man in a current,NOUN,drift,drift
biakus,bi-a-kus,pocket shaped fishing net used by one man in a current,NOUN,drift,drift
biyakus,bi-ya-kus,pocket shaped fishing net used by one man in a current,NOUN,drift,drift
biyakusan,bi-ya-ku-san,boat used in such fishing,NOUN,dragger,dragger
bayakusan,ba-ya-ku-san,boat used in such fishing,NOUN,dragger,dragger
biyakus,bi-ya-kus,a fishing net pocketshape used by one man in a current used in such,NOUN,point,point
byahe,b-ya-he,journey or trip,NOUN,journey,paglalakbay
magbyahe,magb-ya-he,take a trip or go around on display,VERB,turn,lumingon
biyasa,bi-ya-sa,know how,VERB/STAT,know,alamin
mabiyasa,ma-bi-ya-sa,knowledgeable,ADJ/ADV,knowledgeable,may kaalaman
mabibiyasa,ma-bi-bi-ya-sa,is learning,ADJ/ADV,is,ay
bye,b-ye,life,NOUN,life,buhay
byay,b-yay,life,NOUN,life,buhay
pamibyebye,pa-mib-yeb-ye,ways of life,NOUN,ways,mga paraan
byeran delanan,b-ye-ran -de-la-nan,life testimonial,NOUN,life,buhay
kabyayan,kab-ya-yan,occupation or making a living,NOUN,dressmaker,dressmaker
pengabyayan,pen-gab-ya-yan,source of life,NOUN,source,pinagmulan
byayan,b-ya-yan,hatchery,NOUN,hatchery,hatchery
mabye,mab-ye,alive or living,ADJ/ADV,alive,buhay
mye,m-ye,live or be alive,VERB,exist,umiiral
bye,b-ye,give,VERB,give,bigyan
bie,bi-e,give,VERB,give,bigyan
byernis,b-yer-nis,friday,NOUN,friday,biyernes
byernisanto,b-yer-ni-san-to,good friday,NOUN,good,mabuti
lupangbyernisanto,lu-pangb-yer-ni-san-to,sad faced,NOUN,sad,malungkot
byuk,b-yuk,scar,NOUN,scar,peklat
mabyuk,mab-yuk,scarred,ADJ/ADV,scarred,scarred
byukan,b-yu-kan,give a scar to someone,VERB,bear,bear
byuda,b-yu-da,widow,NOUN,widow,balo
byung,b-yung,roaring sound,NOUN,roaring,umuungal
ka,ka,you,PRON,you,ikaw
kabaq,ka-baq,length,NOUN,length,haba
kakaban,ka-ka-ban,lengthen something,VERB,lengthen,pahabain
magpakabaq,mag-pa-ka-baq,stretch self,VERB,stretch,mag -inat
kabag,ka-bag,a kind of bat,NOUN,ding,ding
makabag,ma-ka-bag,bat infested,ADJ/ADV,bat,bat
kabaldugan,ka-bal-du-gan,meaning or significance,NOUN,meaning,ibig sabihin
mangabaldugan,man-ga-bal-du-gan,have a meeting,VERB,have,mayroon
kabambangan,ka-bam-ban-gan,the barrio of bacolor which in the town,NOUN,bodega,bodega
kabangal,ka-ban-gal,counterpart or one of a pair,NOUN,fellow,kapwa
kabangal a saluq,ka-ban-gal- a -sa-luq,spouse,NOUN,spouse,asawa
kabaret,ka-ba-ret,cabaret or nightclub or dance hall,NOUN,honkytonk,honkytonk
mangabaret,man-ga-ba-ret,go to a cabaret,VERB,club,club
kabasa,ka-ba-sa,acquaintance,NOUN,acquaintance,pagkilala
kabaung,ka-ba-ung,coffin,NOUN,coffin,coffin
makakabaung,ma-ka-ka-ba-ung,in a coffin,ADJ/ADV,in,sa
ikabaung,i-ka-ba-ung,put someone in a coffin,VERB,encoffin,encoffin
kabayu,ka-ba-yu,horse,NOUN,horse,kabayo
pakabayu,pa-ka-ba-yu,sawhorse or ironing board,NOUN,ironing board,lupon ng pag -iron
kabaywan,ka-bay-wan,ride horse back on a person,VERB,horseback,kabayo
pakabayu,pa-ka-ba-yu,give horse back ride,VERB,horseback,kabayo
kabesa,ka-be-sa,head or leader,NOUN,head,ulo
kabisera,ka-bi-se-ra,capitol,NOUN,capitol,kapitolyo
makakabesa,ma-ka-ka-be-sa,at the head of the table,ADJ/ADV,dais,dais
kabisadu,ka-bi-sa-du,adept or skilled,ADJ/ADV,adept,adept
kabisera,ka-bi-se-ra,capitol,NOUN,capitol,kapitolyo
kabit,ka-bit,put or fix or attach,NOUN,prefix,prefix
kabit,ka-bit,common law wife,VERB,common,karaniwan
kablas,kab-las,echo or revenge,NOUN,echo,echo
kabli,kab-li,electric wires or cable or other wire,NOUN,duct,duct
kabukasan,ka-bu-ka-san,the next day,NOUN,the,ang
kebukasan,ke-bu-ka-san,kept until the next day or held,VERB,following,sumusunod
kabud,ka-bud,unexpectedly or unounced,PROJ,unexpectedly,hindi inaasahan
kakabyus,ka-kab-yus,by pass or go askew,VERB,exhale,huminga
kakaq,ka-kaq,older brother,NOUN,older,mas matanda
kakak,ka-kak,stutter,VERB,stutter,stutter
mangakakak,man-ga-ka-kak,stutter repeatedly,VERB,stutter,stutter
makakak,ma-ka-kak,conductive to stuttering,ADJ/ADV/STAT,conductive,conductive
kaklak,kak-lak,deaf,ADJ/ADV,deaf,bingi
kadena,ka-de-na,chain,NOUN,chain,chain
ikadena,i-ka-de-na,chain something,VERB,chain,chain
kadwaq,kad-waq,second,NOUN,second,pangalawa
kaju,ka-ju,male nickname from Arcadio,NOUN,bud,bud
kakaju,ka-ka-ju,have sexual intercourse,VERB,have,mayroon
kakagliq,ka-kag-liq,is conceiving or first two month of pregnancy,VERB,run,tumakbo
kai,ka-i,watch a ma call it or you know who I mean or you know what I mean,NOUN,look,tumingin
makai,ma-ka-i,you know how,ADJ/ADV,you,ikaw
makakai,ma-ka-ka-i,such and such,ADJ/ADV,such,tulad nito
potang kai,po-tang -ka-i,indefinite future,ADJ/ADV,indefinite,walang katiyakan
ketang kai,ke-tang -ka-i,indefinite past,ADJ/ADV,indefinite,walang katiyakan
makakai,ma-ka-ka-i,capable,VERB,capable,may kakayahang
kaqibat,ka-qi-bat,afterwards,PROJ/NOUN,afterwards,pagkatapos
kaqikut,ka-qi-kut,tailbone,NOUN,tailbone,tailbone
kaqili,ka-qi-li,left,NOUN,left,kaliwa
kaqingin,ka-qin-gin,slash and burn field,NOUN,cuts,pagbawas
kaqingin,ka-qin-gin,soul,NOUN,soul,kaluluwa
kalahi,ka-la-hi,species,NOUN,species,mga species
kalaldo,ka-lal-do,the hot season,NOUN,the,ang
makipagkalaldo,ma-ki-pag-ka-lal-do,spend the summer,VERB,spend,gumastos
kalamangge,ka-la-mang-ge,a vegetable,NOUN,a,a
kalame,ka-la-me,sweets or dessert,NOUN,sweets,matamis
kalamnan,ka-lam-nan,contents or table of contents,NOUN,index,index
kalampag,ka-lam-pag,tapping noise,NOUN,tapping,pag -tap
makalampag,ma-ka-lam-pag,noisy or has lots of tapping,ADJ/ADV,deathwatch,deathwatch
kalamunding,ka-la-mun-ding,calamansi,NOUN,calamansi,calamansi
kalangan,ka-lan-gan,state of being in heat,NOUN,melt,matunaw
kalang uling,ka-lang- u-ling,charcoal stove,NOUN,charcoal,charcoal
pagkalangan,pag-ka-lan-gan,cooking place,NOUN,cooking,pagluluto
pekakalang,pe-ka-ka-lang,stone holding pot over fire,NOUN,spit,dumura
kalang,ka-lang,stove place where the cooking fire is kept pagkalangan pekakalang which hold pot over the,NOUN,range,saklaw
magtungkungkalang,mag-tung-kung-ka-lang,sit or squat with two others in the same positions as the pot,VERB,couple,mag -asawa
kalat,ka-lat,scatter,VERB,scatter,magkalat
kalbag,kal-bag,swelling or lump,NOUN,swelling,pamamaga
kalbag,kal-bag,swell or be swolen,Stative/Verb,balloon,lobo
makalbag,ma-kal-bag,swollen,ADJ/ADV,swollen,namamaga
kalbit,kal-bit,pinch or pressure,VERB,pinch,kurot
kalbÃƒÂºro,kalbÃ£Æ’Ã¢Âº-ro,carbide,NOUN,carbide,carbide
kalderaq,kal-de-raq,storage place and equipment in a part of sugar extracting,NOUN,box,kahon
kaldero,kal-de-ro,a large metal cooking pot,NOUN,dixie,dixie
kalendaryu,ka-len-dar-yu,calendar or schedule,NOUN,calendar,kalendaryo
kalesa,ka-le-sa,two wheel horsedrawn carriage,NOUN,calash,calash
mangalesa,man-ga-le-sa,ride a calesa,VERB,ride,sumakay
makalesa,ma-ka-le-sa,many calesas in a place,ADJ/ADV,asia,asya
kalgarita,kal-ga-ri-ta,a meat stew usually with dog or goat as the main ingredient,NOUN,onion,sibuyas
kalikubak,ka-li-ku-bak,dandruff,NOUN,dandruff,balakubak
kalingkingan,ka-ling-kin-gan,little finger,NOUN,little,little
kalingwan,ka-ling-wan,forget,VERB,forget,kalimutan
kalisan,ka-li-san,cut,VERB,cut,gupitin
kaluq,ka-luq,pulley,NOUN,pulley,pulley
kalugkug,ka-lug-kug,chug or rumble,VERB,chug,chug
kaluguran,ka-lu-gu-ran,friend,NOUN,friend,kaibigan
kaluguran,ka-lu-gu-ran,sweetheart,NOUN,sweetheart,sweetheart
kaluguran,ka-lu-gu-ran,love someone,VERB,love,pag -ibig
kaluluq,ka-lu-luq,a poor person,NOUN,a,a
pangakaluluq,pan-ga-ka-lu-luq,very poor,ADJ/ADV/STAT,very,napaka
kalyu,kal-yu,corn or callus,NOUN,corn,mais
magkalyu,mag-kal-yu,get calluses,VERB,get,kumuha
kamagqanak,ka-mag-qa-nak,relatives or family relationship,NOUN,kin,kin
makikamaganak,ma-ki-ka-ma-ga-nak,posing as relatives,VERB,posing,posing
kamalig,ka-ma-lig,storehouse,NOUN,storehouse,kamalig
kamamaluq,ka-ma-ma-luq,a deadly snake black or maroon in color,NOUN,blacksnake,blacksnake
kamandag,ka-man-dag,venom,NOUN,venom,venom
makikamandag,ma-ki-ka-man-dag,venomous,ADJ/ADV,venomous,venomous
kamansiq,ka-man-siq,a citrus fruit,NOUN,a,a
kamangyang,ka-mang-yang,string beans,NOUN,string,string
kamaruq,ka-ma-ruq,a kind of cricket eaten fried or cooked with tomatoes,NOUN,tomato,kamatis
kamacili,ka-ma-ci-li,a kind of edible plant,NOUN,squash,kalabasa
kamauq,ka-ma-uq,fist,NOUN,fist,kamao
kambal,kam-bal,twin,NOUN,twin,kambal
kambal kami malan,kam-bal -ka-mi -ma-lan,we are wearing matching clothes,PROJ,coordinates,mga coordinate
kambing,kam-bing,goat,NOUN,goat,kambing
kambubulag,kam-bu-bu-lag,a small moth which damages rice and sugar cane,NOUN,trujillo,trujillo
kambyu,kamb-yu,gears or gearshift or railroad switch,NOUN,shunt,shunt
kami,ka-mi,we,PRON,we,kami
kampanaq,kam-pa-naq,church bells,NOUN,church,simbahan
magkampanaq,mag-kam-pa-naq,ring church bells,VERB,ring,singsing
kampil,kam-pil,a kind of suman wrapper,NOUN,covers,takip
kampil,kam-pil,a long Moro knife,NOUN,barong,barong
kampit,kam-pit,a kitchen knife,NOUN,a,a
kampu,kam-pu,base,NOUN,base,base
kamuti,ka-mu-ti,an edible tuber or cassava,NOUN,yam,yam
kakan,ka-kan,food,NOUN,food,pagkain
pengan,pen-gan,thing eaten,NOUN,thing,bagay
papakan,pa-pa-kan,feed someone,VERB,feed,feed
kanal,ka-nal,canal or ditch,NOUN,canal,kanal
kanal,ka-nal,fell in a ditch,ADJ/ADV,drop,bumagsak
pakanal,pa-ka-nal,have a ditch dug,VERB,trench,trench
kanatba,ka-nat-ba,the other side or across or opposite,NOUN,over,over
kandaba,kan-da-ba,Candaba,NOUN,candaba,candaba
kandatuq,kan-da-tuq,a yellow and black spider found in trees,NOUN,tarantula,tarantula
kandidatu,kan-di-da-tu,political candidate or candidate for election,NOUN,electioneer,electioneer
kandilaq,kan-di-laq,candle,NOUN,candle,kandila
kandung,kan-dung,carry in lap,VERB,carry,dalhin
kandungan,kan-dun-gan,put someone in lap,VERB,back,balik
kandungan,kan-dun-gan,lap,NOUN,lap,lap
kanduruq,kan-du-ruq,a yellow and black bird,NOUN,oriole,oriole
kandut,kan-dut,pinch with a twisting motion,VERB,tweak,tweak
kaninu,ka-ni-nu,whose,PRON,against,laban sa
kenu,ke-nu,whose,PRON,against,laban sa
kantero,kan-te-ro,singer or mason,NOUN,singer,mang -aawit
kantu,kan-tu,corner,NOUN,corner,sulok
magkantukantu,mag-kan-tu-kan-tu,stand around on the corner,VERB,near,malapit
kanu,ka-nu,said,PART,said,sabi
kanuq,ka-nuq,American or Caucasian,NOUN,american,amerikano
kanuwan,ka-nu-wan,forehead or skull,NOUN,forehead,noo
kanyan,kan-yan,now or like that,PRON,asap,asap
kanyu,kan-yu,pig slop,NOUN,pig,baboy
kanyun,kan-yun,cannon,NOUN,cannon,cannon
kap,kap,a good thing,NOUN,a,a
kapad,ka-pad,appropriate or fitting or suited or at ease with,ADJ/ADV,apt,apt
kapal,ka-pal,thickness,NOUN,thickness,kapal
makapal,ma-ka-pal,thick or wide,ADJ/ADV,thick,makapal
makapal a lupaq,ma-ka-pal- a -lu-paq,thick faced,ADJ/ADV,thick,makapal
pakapalan,pa-ka-pa-lan,make something thick,VERB,make,gumawa
kapamakan,ka-pa-ma-kan,humility or abjectness,NOUN,humility,pagpapakumbaba
kapamuq,ka-pa-muq,just a moment or wait a second,PROJ,expect,asahan
kapatad,ka-pa-tad,sibling,NOUN,sibling,kapatid
kinakapatad,ki-na-ka-pa-tad,baptismal brother,NOUN,baptismal,binyag
kapataran,ka-pa-ta-ran,brotherhood,NOUN,brotherhood,kapatiran
kapayaq,ka-pa-yaq,papaya,NOUN,papaya,papaya
kapaya,ka-pa-ya,papaya,NOUN,papaya,papaya
kape,ka-pe,coffee,NOUN,coffee,kape
magkape,mag-ka-pe,drink coffee,NOUN,drink,uminom
kapilan,ka-pi-lan,when,PRON,whenever,kailanman
kapilanman,ka-pi-lan-man,never,ADJ/ADV,never,hindi kailanman
kapit,ka-pit,by the head,PROJ,by,ni
kapit,ka-pit,together,PROJ,together,magkasama
kapit,ka-pit,a type of banana grows with the fruit bunched together,NOUN,soursop,soursop
kapitan,ka-pi-tan,be close to someone,VERB,looker,tingnan
kapitan,ka-pi-tan,captain,NOUN,captain,kapitan
kapitangangbengi,ka-pi-tan-gang-ben-gi,midnight,NOUN,midnight,hatinggabi
mengapitangangbengi,men-ga-pi-tan-gang-ben-gi,up until midnight,VERB,up,pataas
kapitnaq,ka-pit-naq,half,NOUN,half,kalahati
kaplin,kap-lin,cufflinks,NOUN,cufflinks,cufflink
kapoti,ka-po-ti,raincoat or jacket,NOUN,raincoat,raincoat
makakapoti,ma-ka-ka-po-ti,wearing a raincoat or wearing a jacket,ADJ/ADV,shirtsleeve,shirtleeve
kaputul,ka-pu-tul,sibling,NOUN,sibling,kapatid
karangan,ka-ran-gan,thumb and middle finger distance,NOUN,span,tagal
karat,ka-rat,making babies,VERB,making,paggawa
karayum,ka-ra-yum,needle,NOUN,needle,karayom
karbayd,kar-bayd,carbide,NOUN,carbide,carbide
karburador,kar-bu-ra-dor,carburetor,NOUN,carburetor,carburetor
karga,kar-ga,baggage,NOUN,baggage,bagahe
karga,kar-ga,carry,VERB,carry,dalhin
karin,ka-rin,there,PRON,there,doon
makarinyo,ma-ka-rin-yo,loving,ADJ/ADV,loving,mapagmahal
karinyoâ€™sa,ka-rin-yoÃ¢â‚¬â„¢-sa,beloved or a loving girl,NOUN,truelove,truelove
karinyoâ€™sa,ka-rin-yoÃ¢â‚¬â„¢-sa,a type of banana,NOUN,cavendish,cavendish
karta,kar-ta,letter,NOUN,letter,sulat
karteâ€™ro,kar-teÃ¢â‚¬â„¢-ro,mailman,NOUN,mailman,mailman
kartilya,kar-til-ya,a manual to be memorized or a literacy manual,NOUN,know,alamin
kartilya,kar-til-ya,wheelbarrow,NOUN,wheelbarrow,wheelbarrow
kakarug,ka-ka-rug,tremble,VERB,tremble,nanginginig
karuwaye,ka-ru-wa-ye,wagon,NOUN,wagon,kariton
mangaruwaye,man-ga-ru-wa-ye,ride,VERB,ride,sumakay
kasal,ka-sal,marriage or wedding,NOUN,marriage,kasal
kasalwes,ka-sal-wes,civil ceremony,NOUN,civil,sibil
kasalusungan,ka-sa-lu-sun-gan,at present,PROJ,at,sa
kasamak,ka-sa-mak,tenant,NOUN,tenant,nangungupahan
kasaman,ka-sa-man,hate,VERB,hate,mapoot
kasangkapan,ka-sang-ka-pan,tools or appliances,NOUN,tools,mga tool
kasapunggul,ka-sa-pung-gul,two handsgul,NOUN,two,dalawa
kasapwego,ka-sap-we-go,matches or matchbox,NOUN,matches,mga tugma
kasat,ka-sat,tantrum,NOUN,tantrum,tantrum
kakasat,ka-ka-sat,throw a tantrum,VERB,throw,itapon
makakasat,ma-ka-ka-sat,in a tantrum state,ADJ/ADV,anger,galit
kaskas,kas-kas,rub or scratch or grate,VERB,rasp,rasp
kaskasan,kas-ka-san,thing to scratch,NOUN,thing,bagay
kasera,ka-se-ra,boarder,NOUN,boarder,boarder
kasi,ka-si,because,Subordinating Conjunction/Qualifier,because,kasi
kasipingbale,ka-si-ping-ba-le,neighbor,NOUN,neighbor,kapitbahay
kasumangid,ka-su-man-gid,opposite,Noun/Stative/ADJ/Adverb,opposite,kabaligtaran
kasyuq,kas-yuq,male nickname from Nicasio,NOUN,bud,bud
kata,ka-ta,I or thou,PRON,i,i
katandan,ka-tan-dan,a type of banana,NOUN,cavendish,cavendish
katat,ka-tat,flay,VERB,flay,flay
katawan,ka-ta-wan,body or flesh,NOUN,body,katawan
makipangatawan,ma-ki-pan-ga-ta-wan,commit adultery,VERB,commit,gumawa
katawan,ka-ta-wan,low water level,NOUN,low,mababa
katitikal,ka-ti-ti-kal,makes one numb,ADJ/ADV,makes,gumagawa
katmuq,kat-muq,filled,ADJ/ADV,filled,napuno
katri,kat-ri,bed,NOUN,bed,kama
mangatri,man-gat-ri,lie abed,VERB,lie,kasinungalingan
katuangan,ka-tu-an-gan,parent in law,NOUN,parent,magulang
mangatuangan,man-ga-tu-an-gan,going to the father in law,VERB,arch,arko
katuliran,ka-tu-li-ran,rights,NOUN,rights,mga karapatan
katun,ka-tun,alphabet,NOUN,alphabet,alpabeto
akacap,a-ka-cap,understand or grasp,VERB,understand,maunawaan
kaul,ka-ul,embrace,VERB,embrace,yakapin
kaun,ka-un,box,NOUN,box,kahon
kawun,ka-wun,box,NOUN,box,kahon
kaun,ka-un,box something,VERB,box,kahon
kakaung,ka-ka-ung,bark of a dog,VERB,bow-wow,bow-wow
kaung,ka-ung,bark of a dog,NOUN,bow-wow,bow-wow
kawa,ka-wa,vat,NOUN,vat,vat
kawag,ka-wag,the smallest fingerlings in fishponds,NOUN,fish,isda
kawaniq,ka-wa-niq,be separated or go separate way,VERB/STAT,depart,umalis
makakawaniq,ma-ka-ka-wa-niq,separated,VERB/STAT,separated,pinaghiwalay
kawayan,ka-wa-yan,bamboo,NOUN,bamboo,bamboo
kwayan,k-wa-yan,bamboo,NOUN,bamboo,bamboo
kawe,ka-we,swim,VERB,swim,lumangoy
kayaq,ka-yaq,doubt or possibility,ADJUNCT,doubt,pag -aalinlangan
kayag,ka-yag,attract,VERB,attract,maakit
kayaldawa,ka-yal-da-wa,anniversary or birthday,NOUN,anniversary,annibersaryo
kayapan,ka-ya-pan,goodness,NOUN,goodness,kabutihan
kumayap,ku-ma-yap,get well or recover,VERB,cover,takpan
