,part_of_speech,meaning_english,meaning_filipino,sample_bolinao,sample_english,upos,word
alu-aluyon,inf,To accompany someone to several different places.,Sunod ng sunod.,Andi' ka alu-aluyon koni Baying mo ta main nin impurtantin keen na.,Don't you go around with Grandmother for she has some important places she needs to go.,VERB,
alubaob,n,"The condition of shaking, weakness, dizziness and sweating from hunger.",Malipasan ng gutom.,Alubaob a pirat'anan nin pirmin kai pangngan sa udas.,You will be hit with low blood sugar when you are not eating on time.,NOUN,
aludig,adj,"For a person to have a slight mental defect so he is not in control of all of his faculties, simpleton.",Kulang-kulang; sintu-sinto; sirà-sira ang isip-isip.,Si tawonaludigrabay-rabay na a pa'yu-pa'yukan ya.,The person withslight mental defectloves being flattered.,ADJ,
alukapi,n,Small edible freshwater crab.,Talangka.,Abaw a makalap nin alukapi sa gagawa' no tyimpon rapeg.,There are a lot of small fresh watercrabsto be gotten in the rice fields during rainy season.,NOUN,
aluleng,n,A black ground wasp which makes its home in the ground.,Bubuyog.,"No rabay mosaran palakwanen a aluleng, iti no yabi.","If you want to remove ground wasps, do it at night.",NOUN,
alumamay,n,"Gentleness, softness of speaking.",Lumanay.,Alumamay yan mag'irgo kanya' rabay-rabay rayan ua'nak.,His speech is gentle and so the children like him.,NOUN,
aluminyom,n,Aluminum.,Aluminyo.,,,NOUN,
alun'on,n,The act of swallowing whole.,Lunokin ng buo.,No mangan yay biklat diri-diritso a alun'on na.,"When the python eats he swallows it straight down, whole.",NOUN,
alun'unen,vin,For someone or something to swallow up something whole.,Lamunin nang buo.,Inalun'on nayan biklat a mabyay nin manok.,The python swallowed the chicken alive.,VERB,
alunan,n,Pillow.,Unan.,"No mida' ka, sya aalunan.","If you will lie down, here is apillow.",NOUN,
alunanan,vl,To put a pillow under someones head.,Unanin.,,,VERB,
alunanen,vo,To use something for a pillow.,Unanin.,Alunanen mayna in si bag mo ta kurang a alunan.,Use that bag of yours for a pillow since there are not enough pillows.,VERB,
alupaop,n,Fog or mist in the air.,Ulap.,Makubpal aalupaopno yabina sa tatalugtog.,Thefogon mountainous areas is thick in the afternoon.,NOUN,
aluyon,n,"Accompaniment, either intentional or not.",Sabay maglakad.,Say aluyon ran pulis a namin tepel kongko.,The accompaniment of the police gave me courage.,NOUN,
aluyunen,vo,For someone to escort someone to a place.,Sabayan.,Aluyunenrayan gwardya na a Prisidinti.,The President will beescortedby his guards.,VERB,
alyabon,n,A woody forest shrub that grows to 10 feet tall with broad green leaves that have many medicinal purposes.,Sambong.,"Say alyabon, makatambar bale' aninay pait no inumen.",The Ngai camphor shrub is able to be used for medicine but oh such bitterness when it is drunk.,NOUN,
ama,n,"Father, the male parent.",Ama.,Ulidan naya ni Jose a ama na.,Jose has his father as his model.,NOUN,
ama',n,Term of address to an uncle or a male of about the age of the uncle..,Tiyo.,Si ama' nanJulioa namaalaki kona niGorio.,It was the uncle of Julio that raisedGorio.,NOUN,
amagey,n,"Fiber yielding cactus plant sometimes called the century plant with thick, long, slender, spiky leaves.",Magey.,Say amagey itaw sa Arnedo ket gaw'en ran rubir.,They use agave in Arnedo to make rope.,NOUN,
amal,inf,To eat meat or vegetables only without rice or bread.,Papak.,Amal yaynan amal nin litson si Jose mintras a mantaga'nan saray bisita.,Jose kept eating only roasted pig while waiting for the guests.,VERB,
amalen,vo,"To eat only the the main course, without rice or bread.",Papakin.,Andi' moamalena kuna'.,Don'teatonly the fish.,VERB,
amanos,inf,To be on even terms after paying a debt.,Amanos.,Nipakan na ni Lucia konan damulag na a pari ni Maria nin amanos na sa nipangan nan baboy na ni Maria sa kamuti na.,Lucia had her carabao graze in Maria's rice field to get even for Maria having her pigs graze in her camotes.,VERB,
amanusen,vo,To get even with someone.,Gantihan.,Andi' ka ninmangamanos.,Don't takerevengeon anyone.,VERB,
amarilyo,n,Yellow color.,Dilaw; amarilyo.,Kulor amarilyo a pinta nan bali ra.,Their house is painted the color of amarilyo.,NOUN,
amatista,n,"Amethyst, a gemstone that is violet or purple.",Amatista.,Amatista a bato nan singsing nin nibi ni baying Saring konan paburito nan apo.,The stone in the ring that Grandma Saring gave to her favorite grandchild was an amethyst.,NOUN,
amay,n,Address to an uncle.,Tiyo.,Tuloy tirmino nan nagkapitan sa barangay mi ni Amay kon Eniong.,My uncle Eniong had three terms as our baranggay captain.,NOUN,
ambabaay,n,"A type of large mulberry, deciduous tree whose leaf sprouts and flowers are used as a vegetable.",Alokon.,"No mako kami sa tatalon, mangalap kami nin ambabaay ta ipising mi.","When we go to the forest, we get the mulberry flower since we'll cook it into a vegetable dish.",NOUN,
ambak,n,Castigation or a whipping with the hand or with an object.,Palo.,"Si Juan, nangwa' yanambaknan tagintin.",Juan made aswitchof a bamboo branch.,NOUN,
ambaken,vo,"To spank with a stick, hand, etc.",Paluin.,Inambakkoyay anak ko.,Ispankedmy child.,VERB,
ambaker,n,"Rope or fiber leg-wear, usually about two feet long, placed around the ankles used for climbing.",Gapos sa paa.,Mangusar saran ambaker a mangnguli' nin ungot pigaw kai sara maikaruskos.,The climbers of coconut trees use rope angle bonds so that they don't slip.,NOUN,
ambal,n,"Brackishness, the taste of slightly salty water.",Tabsing.,Kai nin mainom a ranom nan bubon mi ta matawayan a ambal.,The water from our well cannot be drunk since it has a brackish taste.,NOUN,
ambale',intrg pron,"Identifies the specific reason for something when preceded by ""no"" forming a relative clause.",Kung bakit.,Ambale' nin man'umakis ka?,Why are you crying?,PRON,
ambaling,n,A grub or a wormlike larva of a black burrowing beetle.,Uwang.,Gulpin ambaling sa nasida' nin silag.,There are many grubs in rotted wicker trees.,NOUN,
ambaro',inf,To come close together forming a circle.,Pagsalikupan; palibutan; paligiran.,"""Ambaro' ta arwasen tamoynay eket,"" ta'way nan mampangulin konran kalalamo' na.","""Close in for we are now bringing the nets up to the surface,"" shouted the man at the rudder to his companions.",VERB,
ambaruen,vo,To pull in the nets encircling the fish.,Batakin.,Ambaruen mi a eket nan basnig ta main anan kuna' na.,Let's pull in the dragnet for there are now fish in it.,VERB,
ambisyon,n,"Ambition, a strong desire to achieve something, such as fame, power, wealth, etc.",Ambisyon.,Ambisyonnay mag'in nin duktor.,Hisambitionis to become a doctor.,NOUN,
ambo',adv,"Not, the negative of a stative item or quality or thing.",Hindi.,"Say kapapa'sar nin tawo,ambo'nin pari-pariho.",The situations of people arenotthe same.,ADV,
ambog,n,A braggart.,Hambog; yabang.,,,NOUN,
ambon,n,Actions taken against the enemy of an ally.,Pagtulong.,Kai nin mapukpukan a ambon ran bubsat na ni Juan kuntra konan kaaway na.,The active alliance of Juan's brothers against his adversaries is unrestrained.,NOUN,
ambrusya,n,A mixture of fruits and milk fruit salad.,Ambrosya.,Ambrusyaa paburito nan dulsi.,Ambrosia is her favorite dessert.,NOUN,
ambulansya,n,Ambulance.,Ambulansiya.,Paipal'is a ruran sa rigrig no marnge' a tunoy nan ambulansya.,Vehicles go to the side of the road when the sound of an ambulance is heard.,NOUN,
ambuligan,n,Corn cob.,Busal.,Magwa' nin idungot a kiri' ninambuligan.,Driedcorn cobscan be used as fuel.,NOUN,
amdamyo,n,A gangplank.,Andamyo.,,,NOUN,
amen,intrj,"A name for Jesus, meaning that he is the one that makes something so.",Hesus.,"Inumbat saray tawo a wanra, «Amen.»","The people responded, «Amen.»",INTJ,
amerika,n prop,The North American continent and specifically the USA.,Amerika.,Rabay-rabay abirno nin adti a pruduktonAmerika.,Americanproducts are liked everywhere.,PROPN,
amerikano,n,A white skinned person.,Amerikano/a.,Abaw a Amerikano sa Pilipinas.,There are manywhiteforeigners in the Philippines.,NOUN,
amigo,n,A friend.,Kaibigan.,Kawa'nan nayan bilang busat na a amigo na ni David.,David loved his friend like his brother.,NOUN,
amigwen,vo,To make friends with someone.,Kaibiganin.,No ba'yu-ba'yo ka sa sayay lugar amigwen mosaray tawodtaw.,"When you are new in a place, make friends with the people there.",VERB,
amil,n,The act of enveloping or enclosing within another object such as a boat by the waves.,Lamon.,Alalaki a amil na kanya' ya nin natiblenan.,What he swallowed was big so he choked.,NOUN,
amilen,vo,To take something in and engulfing it into the system.,Tabunan.,Kai na rabay nin amilen nin anak a tambar ta mapait.,The child doesn't want to take the medicine since it's bitter.,VERB,
amin,inf,"Admission or acceptance of a fault, that what is said is correct.",Amin.,Amin ya tana nin amin si Abian sa iparsa kona.,Abian just simply accepts whatever he is accused of.,VERB,
aminen,vo,Admit or confess a fault or guilt.,Aminin.,Man'aminenkon nakagawa' akon abas.,I amadmittingI made a mistake.,VERB,
amingaw,inf,To consider or evaluate carefully.,Dili-dilihin.,Matkap a amingaw no mangwa' nin disisyon.,"If a decision is to be made, things must be considered and evaluated.",VERB,
amingawen,vo,To be aware of and understand or realize the significance of something.,Pagtantuhin.,Amingawen tamo a mampangyadi' sa libed tamo.,We must realize what is happening around us.,VERB,
amistad,n,A close friend that shares openly and intimately.,Kaibigan.,Amistadkamo yapo' ba'yo kamo mag'in mitrainado'.,You were closefriendsfirst before you become sweethearts.,NOUN,
amnisya,n,"Amnesia, loss of memory.",Amnesya.,Nagkamain yan amnisya si Karla sin naaksidinti yan nagmutursiklo.,Karla came to have amnesia when she had an accident riding a motorcycle.,NOUN,
amo,n,The person who has authority over another's work or life.,Amo.,Mangkairgo koyan pirmi a asawa nanamomo sa palingki.,I always talk to the wife of yourbossat the market.,NOUN,
amo',n,"Docility, the characteristic of being gentle and easily managed.",Amo.,Madali' yan matakaw a manok ko bana' sa amo' na.,My chicken can be easily stolen because of its docility.,NOUN,
amog,n,"Condensation, water condensed on the plants and ground, normally in the morning.",Hamog.,Malbet a ayi no lumalako ka sa rarabot no kabubuklas bana' sa makubpal nin amog sin yabi.,Your feet will get wet if you walk in the grass in the early morning because of the thick condensation over night.,NOUN,
among,n,"Boss. Address of a person or a subordinate with friendly relations to his superior, or of any person to someone in authority with an element of flattery.",Among.,"Maong ka pa,Among, ta iti kan nakatekre'.","Good for you,Boss, you are just sitting here.",NOUN,
amor,n,"Affection, regard, esteem.",Amor; pag-ibig; pagmamahal; pagsinta.,Kasa gaponamorna konan manuyang na.,She is bereft ofaffectionto her son/daughter in law.,NOUN,
amot,n,The fervor and excitement of something.,Alab.,"Bana' saamotnin panaon, abaw saray balinsayngeten.","Because of thewarmthof the weather, many people have prickly heat.",NOUN,
ampad,n,To be side by side with a person or thing.,Agapay.,"Si asawa na ni Miyor, pirmin iti ya sa ampad na tepe' nin lumalako sara.",The Mayor's wife is always alongside him every time they take a walk.,NOUN,
ampadan,vl,"Take a positionalongside, to place oneself side by side with a person or a thing.",Agapayan; agapayanan.,Ampadanman lumalako si baying ta bangli' no matumba ya.,Walkalongsideyour grandmother for she might fall.,VERB,
ampang,adj,For school age or older girls acting in childish or silly way to get attention or what they want.,Isip-bata.,Andi' ka ninampang! Misili kaynan bukod.,Don't actchildish. Put on fresh and clean clothes by yourself.,ADJ,
ampapa'ga,n,"Torres Strait scrambler, a shrub with long, soft jagged heart shaped leaves and red flowers and edible fruit similar to a cherry tomato.",Susong kalabaw.,"No bulan Hulyo, gulpi a ampapa'ga.","In the month of July, there is a lot of Torres Strait scrambler.",NOUN,
ampapa'yaw,n,"Antlion larvae, a small gray crawling animal which digs pits in loose soil around buildings to trap ants and other insects.",Baboy-baboy.,"Gindat sin kasa et nin silpon tan kumpyuter, ikap rasaran a'nak a ampapa'yaw.","Back then when there were no cellphones and computers yet, antlions were the playthings of children.",NOUN,
ampas,inf,A tick.,Puyo. garapata.,Anron parti nin lalaman nan sayay ayep iti sa tataklian a siti ampas na sa dumpa' sa lalaman na.,The long part of the body of an animal here at the anus which this is swung at aomething alighting on it body.,VERB,
ampasan,vl,To brush off something.,Pagpagin.,Ampasan moy ta'pok sa lamisawan.,Brush the dust on the table.,VERB,
ampasen,vo,"To lightly strike a surface, as a table, etc. with the hand or an object to sweep or brush away dust, etc.",Pagpagin.,Ampasen may tekrean ta abaw a pasi' na.,Brush the crumbs off the chair for there's a lot on it.,VERB,
ampaya',n,"Protective care, upholding someone.",Batakin.,,,NOUN,
ampayaen,vo,To give protective care to someone or something.,Pangangalaga.,Ampayaennaka kumon nin Catawan sa pagbibyahi mo.,May the Lordprotectyou during your journey.,VERB,
ampayr,n,Umpire.,Ampay.,Ampiyay ampayr sa bula konran Cape ta taga babali ya.,The umpire in the softball game ison the sideof the players from Cape Bolinao High School because he is from the town proper.,NOUN,
ampi,adj,To be on someone's side in an issue or conflict.,Kampi.,Ampiyay ampayr sa bula konran Cape ta taga babali ya.,The umpire in the softball game ison the sideof the players from Cape Bolinao High School because he is from the town proper.,ADJ,
ampiwan,vl,Alliance.,Kampihan.,Ampiwanmay amigo mo.,Takethesideof your friend.,VERB,
ampog,adj,The characteristic of boasting and exaggerating about what one has or has done.,Hambog.,Ampog yan tuloy si Danilo.,Danilo is such a braggart.,ADJ,
ampon,n,"A person, especially a child, who has been brought into a family either by legal means or by agreement.",Ampon.,Ampon saray rway a'nak ra ni Almario.,Almario's two children are adopted.,NOUN,
ampulyas,n,Glass ampules or vials (used as container for injectable medicine).,Ampulyas.,Matkap a supaken yay bebey nanampulyasta pigaw makalap nin ringilya a laman nan tambar.,The mouth of thevialneeds to be broken so that the syringe can take out the medicine that it contains.,NOUN,
ampunen,vo,To adopt someone into the family legally or take them into protective custody.,Ampunin.,Rabay rayan ampunen a anak bale' anro tan magastos a prusiso.,They want to adopt a child but the process is long and expensive.,VERB,
ampupo,n,The act of protectively holding something close with the palms of the hands such as an infant or large plastic bag of rice.,Pangko.,"Si ampupo kon anak, maksaw ya.",The child I'm holding in my arms is strong.,NOUN,
ampupwen,vo,"To cuddle, to hold someone or thing close and protectively in one's arms or lap.",Pangkuhin.,Ampupwen may anak ta maray'ep ya.,Cuddle the child for he's cold.,VERB,
amris,n,A liniment for rubbing the arms or legs.,Pamahid.,Main lako' nin amris sa parmasya.,There is liniment sold in the pharmacy.,NOUN,
amrisan,vl,To rub an area of a body with medication.,Pahiran.,Ugali' nin amrisan saran asyiti a abing no kayadi' sara pinaryo'.,It's the custom to rub oil on babies after they have been given a bath.,VERB,
amu'-amuen,vo,To calm down someone.,Amuin; pinapakalma ang loob.,,,VERB,
amuen,vo,To calm something down.,Amuhin.,,,VERB,
amunya,n,A water solution of ammonia given to those who are feeling dizzy to smell or sniff to improve their condition.,Amonya.,Pinaangot raya nin amunya si Jana sin naklep ya.,They made Jana smell ammonia water when she fainted.,NOUN,
amuris,n,"Blemish, Any very minor bodily disorder that doesn't require treatment and heals or disappears by itself and usually manifests itself on the skin: as prickly heat, rash, etc.",Singaw sa katawan.,Abaw a bakasamurisnin lalaman a ma'kit sa rupa.,There are many blemishes that appear on the face.,NOUN,
amuritis,n,It's a coined word from the Spanish amor and is applied to tease someone as having love-sickness the cure for which is kisspirin and yakapsule (hug).,Amoritis.,,,NOUN,
amurprupyo,n,"Self-respect, pride in oneself.",Amorprupyo; pagpapahalaga sa sarili; kapalaluan; pagkamakaakò.,Si amurprupyo mo ket makaranod ya konran kapi'sa mo.,Your self esteem is tied up with your cousin.,NOUN,
amuruso,n,Penalty for delinquency in paying taxes.,Hindi pagbababayad ng buis; multa.,Main ananamurusoko nin rwan yasot a pisos sa rway taon a kai ko nipamayad nin amilyaramyinto.,I have a charge of two hundred pesospenaltyfor failure to pay taxes for two years.,NOUN,
amyan,n,"Wind coming from a northerly direction, normally from the sea.",Amihan.,Pangyayatab ana kanya'nin amyananan pirmi.,It's harvest season now so the wind is alwaysfrom the north.,NOUN,
amyanan,n,The direction towards the north or to the north of a place or thing.,Hilaga.,"Si Bolinao, iti ya saamyanannin Bani.",Bolinao isnorthof Bani.,NOUN,
amyanan-baytan,n,Northeast.,Hilagang-silangan.,,,NOUN,
ana,part,A marker of reality and certainty.,Na.,Dilap ataynali' mag'irgo nin uman.,Let's talk againtomorrow.,PART,
anabungat,part,"Doing something with abandon, ignoring the consequences.",Basta-basta.,"Mako kadti anabungat, andi' ka nin mading'ey.",Come here without hesitation; don't be shy.,PART,
anaet,part,"Again, repeating a previous thought, used to connect two parts of a discourse.",Mulì.,"Sa apes na ni Pilato nin bulusan ya si Jesus, ket nikiirgo ya anaet konran tutawo.","In Pilate's desire to set Jesus free, he again, the same way, talked to the people.",PART,
anag,n,The dry-wood termite.,Anay.,Gulpin anag itaw sa lugar mi.,There are many termites in our place.,NOUN,
anagen,vo,For termites to eat and so destroy something.,Anayin.,Mangkwan ran tambar a kayo nin usaren ra nin mangwa' aparador pinggat kai nin anagen.,The wood they are using to make the cabinets is being treated so that termites will not eat it.,VERB,
anahaw,n,The round-leaf fountain palm is the national leaf of the Philippines.,Anahaw.,Si payong na gawa' ya sa anahaw.,Her umbrella is made ofpalmleaf.,NOUN,
anak,n,Interest or earnings from an investment.,Tubo.,Main ninanakran sayan-saya tamo'.,They have only onechild.,NOUN,
anak-anak,n,"Doll, a child's toy which looks like baby or a small persons.",Manika; manyika.,Naspak yay rupa nananak-anaknan anak ko.,The face of my child'sdollis shattered.,NOUN,
anak-anaken,n,"A young, maturing adult, usually from late teens to late twenties.",Kabataan.,"Say pangingiyawa' nin mabayanin inumen konran anak-anaken, syay manepeg a pagalangan.",The prohibition of minors drinking liquor is laudable.,NOUN,
anaken,vo,"To treat someone as a child, pampering, tolerating and even taking their side when they are wrong.",Tratuhing bata.,,,VERB,
anam,n,Wasteful extravagant use of something.,Aksaya.,Kasan madinep ran kwarta bana' sa anam ran mangastos.,They have no money set aside because of their extravagant spending.,NOUN,
anam-anamen,vo,To use much more of something than is necessary.,Mag-aksaya.,Andi' moyoanam-anamena byas ta mabli.,Do not use ricemorethan isnecessarybecause it's costly.,VERB,
anamaet,part,"In a similar manner, connecting a larger piece of discourse.",Gayunman.,"No mayadi' ka nin minom, si'koynamaet.",After you drink then I will also.,PART,
anamain,part,"I didn't know that was so, a mild expression of surprise or wonder about something unexpected or not previously known.",Pala.,Syaanamaina asawa na ni miyor.,"O, so she is the wife of the mayor.",PART,
anamana,part,"Again, not directly influenced by the previous referred to action.",Na naman.,Nibarita' koyna anaod komoyo. Ambale' a rabay moyo anamana nin marnge'?,Indeed I already told you. Why do you want to hear again?,PART,
anan,n,The act of eating the main course greedily without or with only a little rice.,Palaulam.,"Bana' sa anan na ni Pablo, ma'pusan saran kunaen a kadungo nan mampangan.","Because of Pablo's ravenous eating, the main course for those eating with him was being consumed.",NOUN,
ananen,vo,To eat the main course of a meal with a small amount of rice.,Papakin.,,,VERB,
anaod,part,"Indeed, When found outside the core of the sentence it reiterates and highlights the entire sentence or context.",Kaya nga.,Manaliw ako naod nin ruran no makadinep akon kwarta.,I will indeed buy your vehicle if I am able to get the money together.,PART,
anasan,vl,To whisper to someone.,Bulungan.,Pinatgen nayan maistra si Imelda nin anasan nasaray kaiskwila na leg'an nin iksamin.,The lady teacher stopped Imelda from whispering with her classmates during the examination.,VERB,
anda,n prop,"Anda, an island town in Pangasinan. It is also called Cabaruyan.",Bayan ng Anda.,Nagprugriso yay Anda sin main anan taytay nin nangikunikta kona sa Bolinao.,Anda progressed when there was a bridge that connected it to Bolinao.,PROPN,
andadalok,n,Flying insect that is a stage in the development of termites. Front and back wings are the same length.,Daludalo.,"No kayadi' nin rapeg, gulpi saray lumwa' nin andadalok.",After a rain there are many flying termites that come out.,NOUN,
andadasi,n,A meadow shrub that grows to about one meter high with yellow flowers whose leaves are crushed to extract a fluid that is used for curing ringworm.,katanda.,Abaw a andadasi nin kai mabanglo.,There are many candle bushes the are not fragrant.,NOUN,
andador,n,Walking aid for babies.,Andador.,Adamen koya payandadormoyo?,May I borrow your walker?,NOUN,
andamyo,n,A work scaffold.,Andamyo.,Pasak a andamyo nin bapor.,The gangplank of a ship is steel.,NOUN,
andanti,n,"In music, to be moderately slow.",Andanti; dahan-dahan.,"Say rabay kon kansyon, andanti ta mabistan reng'en sa tutulyan.",The songs I like are a slow movement since they are nice for the ears to listen to.,NOUN,
andap,n,Sparkle flash of brightness in the sea at night or the flicker before a flame goes out.,Andap.,"No sumaki sa taaw no yabi, mabistan bantayan aandapsa rarem.","When sailing in the sea at night, it's beautiful to watch the sparkles of light in the water.",NOUN,
andar,n,"Flow, movement or circulation of liquid such as gas or blood, etc.",Daloy.,Palyado aandarnan makina nan mutor mo.,The operation of your boat engine indicates it's defective.,NOUN,
andi',mod,To refuse or have an aversion toward something.,Ayaw.,Andi' kamo mangwa' nin duka' sa kapada moyo nin tawo.,Don't do evil to your fellowman.,AUX,
andian,vl,To reject something.,Tanggihan.,"Bale', man'andian ran ka'bawan ran Judio a si Jesus ket syan page' a Cristo a nipangako' nan Dios nin ibaki' nan mag'in nin adi' ra.","But, most of the Jews are rejecting that Jesus he really is the Christ that God had promised he would send to become their king.",VERB,
andibali,adv,Never mind.,Hindi na bale.,Andibali a kasa nin unor na sin nayadi' ya sa hay skol si Ella basta nakaliwa' ya.,Never mind that Ella did not receive honors when she finished high school as long as she had gotten through.,ADV,
andidis,n,"Cicada, an insect with long transparent wings. The males make a loud buzzing noise by vibrating two membranes on their abdomen.",Kuliglig.,Gulpin andidis sa puon sargwilas mi.,There are many cicadas in our Spanish plum trees.,NOUN,
andipat,n,The event of disappearing quickly.,Laho.,Andipat a nikakasa nan kabunlalakaw.,The rainbow disappeared so quickly.,NOUN,
andoy,n,A nonspecific vocative and affectionate name used for a young male.,Totoy.,"Andoy, mako ka nin magtrabaho sa gagawa' konan sitin awro.","Boy, go and work in the field today.",NOUN,
andyak,mod,I don't like.,Ayaw ko; ayoko.,A?Andyakpa!,"What? No, Idon'tlike!",AUX,
anem'em,n,The degree of warmness that is the same as the temperature of the body.,Ligamgam.,Sukaten aanem'emnin ranom sa pangitapsaw iti nin siko.,The tepidness of the water is measured by dipping the elbow in it.,NOUN,
ang'ang,adj,"For an adult to be childish, slow in understanding and dull.",Patapong bagay.,Matamlad yan mag'adal kanya' ang'ang a tawag ra kona.,He is lazy in his studying and so they are calling him childish.,ADJ,
angak,n,To cry loudly with mouth wide open and without shame.,Atungal.,Maksaw aangaknan abing.,Thebawlingof the baby is strong.,NOUN,
angakan,vl,To cry because of or for.,Iyakan.,,,VERB,
angan,n,An opinion about a situation.,Palagay.,"Sa angan ko, kai ya nin mansumrep sa klasi na kanya' nin kai ya nakaliwa'.","In my opinion, he is habitually not coming to class so therefore he cannot advance.",NOUN,
angan-angan,n,"Estimation or opinion on something, without fully committing one's self to a statement.",Tantiya.,"Saangan-anganko, kai koyna nin marate' a rway linggo.","In my estimation, I won't survive for two weeks.",NOUN,
angan-anganen,vo,To consider a situation and work out the possibilities and so make an estimation.,Tantiyahin.,Andi' ma itarana' a sayay gawa' no angan-anganen mon kai ma mababa' yadien.,Don't start a job if you have estimated that you will not be able to finish it.,VERB,
angangko,adv,In my estimation.,Sa palagay ko.,Mako akoangangko sa Manila dilap bale' kai ko et maisigurado.,I think Imightbe going to Manila tomorrow but I'm not yet sure.,ADV,
angded,adj,To be boiled dry or burned because of lack of water.,Sunog.,,,ADJ,
anges,adj,Nasalized speech that is forced through the nasal passages producing a twanging sound or can be a defect resulting from a cleft palate or some blockage in the nasal passage.,Ngongo.,Main nin sayay pamilya a sarba ra nga'minket angessara.,There is a family who all speak with anasal twang.,ADJ,
angga,advlizer,To the extent of something.,Hanggang sa.,"Say atab sawanin, anggan alas dusi nin awro.",The high tide today goes until noon.,PART,
anggan-angga,adv,To remain perpetually through unending periods.,Hanggang-hangga.,"Makasa a langit tan luta', bale' say ibarita' ko magnayon nin tutuo anggan-angga.","Heaven and earth will disappear, but my words will remain true forever.",ADV,
anggawan,vl,Put an end to something.,Wakasan.,Nibarita' nan maistra nin aggawan nayayna ni Mario a diskurso na.,The teacher told Mario to end his speech.,VERB,
anggulo,n,An angle.,Anggulo.,,,NOUN,
anghil,n,Angel.,Anghel.,Nipa'kit ya sa taynep a sayay anghil nan Dios kona ni Jose itaw sa Egipto.,An angel of God appeared to Jose in a dream there in Egypt.,NOUN,
anghilus,n prop,"A prayer said at morning, noon and night in observance of the Annunciation.",Anghilus; orasyon.,"Anghilusana, tumgen ka ta dumasal.","It'sprayertime, stop and pray.",PROPN,
angkaten,vo,"To import, buy commodities from other countries.",Angkatin.,Angkaten nay sayay tiklis a kamatis.,She takes on consignment one basket of tomatoes.,VERB,
angkay,n,Address of respect for an older person.,Ate/kuya.,"Pito ray angkay ko, a'nem ra a lullaki tan sayay babayi.","I have seven older siblings, six brothers and one sister.",NOUN,
angkayen,vo,To address a sibling or older persons with the titleangkay.,Tawaging ate/kuya.,Si Pablo ket sayay taon nayna; angkayen naya si Jose nin tuloy taon ana.,"Pablo is now one year old, and Jose is three years his elder.",VERB,
angkel,n,Uncle.,Tiyo.,"Mayi kamo,angkel?","Are you coming with,Uncle?",NOUN,
angkiten,vo,To have asthma or shortness of breath.,Hikain.,Alalaki asang'apna ta angkiten ya.,Her gasps are bigsinceshe is short on breath.,VERB,
angkla,n,An anchor which pierces the sea bottom.,Angkla.,"Sarban baluto, main nin angkla.",All boats have an anchor.,NOUN,
anglem,adj,The odor of the burning rags.,Amoy nang nasusunog na damit.,Anglem a maangot no mangkapuuran a lupot.,If rags are burning the smell is pungent.,ADJ,
angol,n,A plague of a cursed death involving an epidemic or pests.,Patay.,Nakapangan yan makasamal nin kuna' kanya' angol a piaabot na.,He happened to eat some poisonous fish and so the curse of death reached out to him.,NOUN,
angot,n,The odor or smell or something.,Amoy.,"Say angot mo, bara'mon angot nin gasulina.",You smell like gasoline.,NOUN,
angrab,n,"To give out a wail, shriek with an open mouth over something because of fear or grief or pain.",Humagulgol.,Marnge' sa liwa' nan kwarto a angrab nan anak a man'aspuken nan nanay na.,The wail of the child being spanked by her mother can be heard outside the room.,NOUN,
angraban,vl,To wail or weep loudly over a tragedy.,Hagulgulan.,Andi' ma nin angraban a sayay tawon malamang.,Do not weep over an ungrateful person.,VERB,
angser,n,The smell of urine.,Panghi.,Mas a angser nin umi' nin baka dyan damulag.,The urine of the cow smells much stronger than that of the carabao.,NOUN,
angtit,n,The smell of burned flesh or a male goat or body odor.,Anghit.,"Say angtit mo, maangot abirno nin adti ka mako.",Your body odor can be smelled wherever you go.,NOUN,
angtol,n,"A fishy smell, such as of a shark or fish found in rocky areas.",Lansa,"Say angtol na, maangot abirno adti ka mako.",It's fishy smell can be smelled wherever you go.,NOUN,
anguten,vo,To smell something.,Amuyin.,Rabay-rabay kon anguten a burak nin rusal.,I really like smelling the gardenia flowers.,VERB,
angyob,n,"A piece of bamboo to blow through to build a fire, also used by blacksmiths as bellows.",Pang-ihip ng kalan o baga.,Mangusar yan angyob si Juan no padtawen nay kayo nin nisungroy.,Juan uses a bamboo blow pipe when he starts the wood on fire in the the firewood he has stacked for fuel.,NOUN,
ani,intrg pron,"Identifies the specific thing or event referred to when preceded by ""no"" forming a relative clause.",Ano.,Aniet a rabay mon saliwen?,Whatelse do you want to buy?,PRON,
anib,n,"A stone, ring, etc. that has power to protect or defend a person or his possessions from dangers.",Agimat.,"Say bala,anibkano kuntra sa gamod.",Bullets reportedly areprotectionagainst witchcraft.,NOUN,
anibirsaryo,n,Anniversary - wedding or birth.,Anibersaryo.,Anibirsaryo ko sin nako kamodtaw sa bali.,It was my anniversary when you went there to the house.,NOUN,
animal,intrj,"Beast, said to someone whose behavior is unpleasant or disgusting.",Animal; multo; halimaw; hayop.,Animalka!,Youbeast!,INTJ,
animik,adj,"Anemic, looking pale and weak and normally having low iron in the blood.",Kulang sa dugo.,Na'teng akoynan pirmin makapoy a ingar tan maulaw-ulaw; animik ako layi.,I have been feeling always weak and slightly dizzy for a long time; I think I might be anemic.,ADJ,
anina,adj,An expression of an unmeasurable thing such as extreme wonder or apprehension or frustration.,Naku naman.,Aninay anda' nin pupa'deng nan siti si Timplo!,How unbelievably splendid are the buildings of this Temple!,ADJ,
