Tuwali Words,Root Word,,Affixes,,English Translation,Tagalog Translation,Meaning,Part of Speech
balol,balol,-,-,-,value; worth,halaga; presyo,refers to the monetary or intrinsic value of an object or item,Noun
balolan,balol,-,-,-an,price,presyo,to name a price for something being sold,Verb
balondoy,balondoy,-,-,-,balondoy weed,damong balondoy,weed about 1 inch tall with yellow-green coloration; produces runners; commonly eaten by goats,Noun
baltung,baltung,-,-,-,baltung ritual,ritwal ng baltung,Ifugao ritual in which shamans stamp their feet after each sentence of a ritual chant; performed as part of ceremonies such as hogop,Noun
balu,balu,-,-,-,be widowed,maging balo,to be a widow; widower,Verb
balud,balud,-,-,-,prisoner,bilanggo; preso,refers to a person who is incarcerated due to committing a crime or offense,Noun
balud,balud,-,-,-,bind,magbigkis,to tie a person or animal in order to transport,Verb
baludan,balud,-,-,-an,prison cell; jailhouse; prison building,kulungan; bilangguan,building or facility where prisoners (balud) are kept,Noun
baludibud,baludibud,-,-,-,baludibud tree,punong baludibud,tree variety that attaches to another tree; may overshadow or inhibit the fruit of the host tree; may also be used as firewood,Noun
balugubug,balugubug,-,-,-,accompany,samahan,to accompany someone,Verb
baluhak,baluhak,-,-,-,detach,maghiwalay,to detach clamp-like stem of a cluster of betel nuts from a tree,Verb
baluhbu,baluhbu,-,-,-,slip out,makalusot,"to move, by slipping out of carrying blanket or embrace, e",Verb
baluketket,baluketket,-,-,-,rummage,paghalungkat,to sort through a pile or collection in search for something,Verb
baluknit,baluknit,-,-,-,battlefield; skirmish site,lugar ng labanan,place where battles or skirmishes occur; usually a large ricefield or riverbed,Noun
balukyad,balukyad,-,-,-,unclench,mag-unclench,to open one's closed hand,Verb
balun,balun,-,-,-,provision,baon,an amount or thing supplied or provided,Noun
balungango,balungango,-,-,-,look up,tumingin sa taas,"to raise and turn head to see something, usually done in response to sounds which have been heard",Verb
balunglung,balunglung,-,-,-,trough,labangan,to place inside a wooden trough,Verb
balutbut,balutbut,-,-,-,escape,takas,to break free from confinement,Verb
balyag,balyag,-,-,-,head-carry,head-carry,to use the headstrap basket,Verb
balʼikit,balikit,-,-,-,belt; waistband,sinturon,strip or band worn around the waist to hold clothing in place,Noun
ban-uk,banuk,-,-,-,be annoyed,maiinis ka,to feel annoyed by another's action or speech,Verb
ban-ule,banule,-,-,-,feel ashamed,makaramdam ng hiya,embarassment related to not sharing what one has,Verb
ban'o,ban'o,-,-,-,borrow,humiram,to borrow something,Verb
ban'ong,ban'ong,-,-,-,dike,dike,to build ricefield dikes,Verb
ban'ul,ban'ul,-,-,-,smolder,umuusok,"for firewood to burn poorly so food is not cooked well, especially in regard to rice and tubers",Verb
Banawol,Banawol,-,-,-,Banawol,Banawol,another name for Banaue,Noun
banbanaggo,banbanaggo,-,-,-,house lizard; gecko,butiki,house lizard; gecko,Noun
banbanilag,banbanilag,-,-,-,twinkle,kumislap,to twinkle,Verb
bandela,bandela,-,-,-,flag,bandila,to use as a flag; display a flag or banner,Verb
banduyyo,banduyyo,-,-,-,swish,swish,sound of the sudden movement of something,Verb
bang-al,bang-al,-,-,-,hips,balakang,the hip area and upper buttocks of humans or animals,Noun
bang-ot,bangot,-,-,-,set pot on fire,sunugin ang kaldero,to put cooking pot over the fire,Verb
banga,banga,-,-,-,cooking pot,palayok; kaldero,"container used for cooking, typically made of clay or metal; can be used for boiling rice, water, or other food",Noun
bangad,bangad,-,-,-,return,bumalik,to return to a place that someone had previously left; usually used to return to residence,Verb
bangbang,bangbang,-,-,-,spade,pala,to spade soil; to dig soil to plant; loosen soil for planting,Verb
bangga,bangga,-,-,-,bump,mauntog,to bump into something; to crash into something,Verb
banggol,banggol,-,-,-,necklace,kwintas,"decorative item worn around the neck, often made of beads, metal, or other materials",Noun
bangguluwan,bangguluwan,-,-,-,dragonfly,tutubi,"largest type of dragonfly, green in color with transparent wings; sometimes eaten",Noun
bangi,bangi,-,-,-,poisonous snake,ahas na makamandag,"venomous black snake, about 3 inches in diameter and 6 feet long; can bite and cause swelling or injury",Noun
bangibang,bangibang,-,-,-,bangibang,bangibang,Musical wooden instrument / bamboo slit drum,Noun
bangibang,bangibang,-,-,-,perform revenge ceremony,magsagawa ng seremonya ng paghihiganti,the ceremony of revenge; part of the ceremony is what is described as a war dance,Verb
bangiw,bangiw,-,-,-,divert,ilihis,to turn towards another direction; to divert towards another direction,Verb
bangka,bangka,-,-,-,dealer,tagaderehila,person who deals cards or manages money in a gambling game,Noun
bangkiling,bangkiling,-,-,-,chain,kadena,chain used to bind or shackle animals or prisoners,Noun
bangko,bangko,-,-,-,bench; wooden bench,bangko; upuan,wooden bench used for sitting; may be portable or fixed,Noun
bangko,bangko,-,-,-,deposit,deposito,to place money in the bank,Verb
bangkug,bangkug,-,-,-,lower back,baywang,"lumbar region of the back, often associated with bending or back pain",Noun
bangkuwa,bangkuwa,-,-,-,get up,bumangon ka,to arise and get out of bed,Verb
banglu,banglu,-,-,-,be fragrant,maging mabango,to be fragrant; aromatic; smell sweet,Verb
bangnga,bangnga,-,-,-,smoke,usok,to use a smoking pipe,Verb
bangngad,bangngad,-,-,-,return,bumalik,to come or back to a place or person,Verb
bangngadon,bangngad,-,-,-on,reclaim,bawiin,to reclaim something that was given previously,Verb
bangun,bangun,-,-,-,wake up,gumising ka,to awaken and get up,Verb
bangungut,bangungut,-,-,-,nightmare,bangungot,have a nightmare,Verb
bangunon,bangun,-,-,-on,shake awake,iling gising,to wake up; to shake someone awake,Verb
banguy,banguy,-,-,-,bend,yumuko,to bend something,Verb
banhal,banhal,-,-,-,lay logs,maglagay ng mga log,to place logs to dry and often used for benches; these are placed side by side on the ground,Verb
banhona,banhon,-,-,-a,borrow,hiramin,to borrow,Verb
banig,banig,-,-,-,ghost,multo,"the disembodied soul or spirit of a dead person or animal, believed in folklore to appear to the living",Noun
banik-ihon,banik-hon,-,-,-,shred,gutayin,tear into little pieces; shred,Verb
baningal,baningal,-,-,-,drape,kurtina,to place a shawl or blanket around shoulders and neck,Verb
bannawag,bannawag,-,-,-,betray,ipagkanulo,to speak about something that has been said in confidence; spread confidential information,Verb
banneeng,banneeng,-,-,-,co-sleep,sabay tulog,to sleep with parents; children under years old do not sleep separately,Verb
banniya,banniya,-,-,-,lizard,butiki,yellow spots on gray and black skin with a cream belly; found in big trees and big stones with cracks or underneath where they dig in the earth for their homes,Noun
bano,bano,-,-,-,serve ,maglingkod ,to dish out viand; to ladle viand,Verb
banong,banong,-,-,-,banong,banong,lip of ricefield dike which contains the water; projecting edge of ricefield dike,Noun
bantay,bantay,-,-,-,guard,bantay,to guard; watch over someone or something,Verb
banting,banting,-,-,-,ignite,mag-apoy,to set fire to ssomething by using matches,Verb
bantuk,bantuk,-,-,-,strike down,strike down,"to strike, downward motion; refers to the manner in which a snake rears up and strikes to bite",Verb
bao,bao,-,-,-,be abandoned,iwanan,"to be an abandoned house; describes the state, not the action of abandoning",Verb
barbaru,barbaru,-,-,-,new,bago,"produced, introduced, or discovered recently or now for the first time",Adjectives
barkada,barkada,-,-,-,socialize,makihalubilo,refers to the joining in the social life of companions,Verb
bastus,bastus,-,-,-,rude,bastos,offensively impolite or ill-mannered,Adjectives
basura,basura,-,-,-,discard,itapon,to throw away trash or garbage,Verb
bat'ag,bat'ag,-,-,-,be poorly ripened,maging mahinang hinog,"bananas that are not ripened properly; the bananas develop hard, darkened parts",Verb
bat'u,bat'u,-,-,-,be rocky,maging mabato,"to be rocky, refers to ground that is full of rocks",Verb
bata-an,bataan,-,-,-,move back,lumipat pabalik,"to move farther away from someone or something, putting space between; move back",Verb
batag,batag,-,-,-,bloodshot,pamumula ng dugo,for eyes to become bloodshot,Verb
batawel,batawel,-,-,-,shoulder pole,balakwit,"pole placed on the shoulder to carry rice bundles,",Verb
batawel da,batawel da,-,-,-,their pole,balakwit niya,"pole placed on the shoulder to carry rice bundles, on both ends, to and from the granary: otherwise called as batawil",Noun
batawelona,batawelona,-,-,-,use batawel,gamitan ng batawel,to use the batawel on something,Verb
batawil,batawil,-,-,-,carry on pole,ituloy ang poste,"to carry on a pole on one's shoulder, usually produce that can be hung such as rice bundles",Verb
bati,bati,-,-,-,be heirless,maging walang tagapagmana,to be without heir; heirless,Verb
batil,batil,-,-,-,play,maglaro,to play this game,Verb
batling,batling,-,-,-,wear earrings,magsuot ng hikaw,to wear earrings,Verb
batnong,batnong,-,-,-,plaster dike,plaster dike,to coat a dike with mud; to plaster mud on a dike for maintenance or repair,Verb
batok,batok,-,-,-,be striped,maging guhit,to be striped; to be tattooed,Verb
batt'ong,batt'ong,-,-,-,net-catch,net-catch,to catch in a net; extended meaning,Verb
battan,battan,-,-,-,gap,pagitan; puwang,"interval or space between two objects, people, or points",Noun
battan,battan,-,-,-,space out,space out,to keep or put space between two things,Verb
battanan,battan,-,-,-an,set apart,ihiwalay,to set apart creating an interval of time or space,Verb
battikul,battikul,-,-,-,snail; mollusk; edible shellfish,suso; kabibe,"mollusk or snail found in ricefields or flowing water, with a relatively large hard shell, edible",Noun
battug,battug,-,-,-,leopard frog,palaka,"species of frog typically found in brooks or rivers, edible",Noun
batung,batung,-,-,-,dam,dam,structure made of piled stones built in a river to control water flow,Noun
batung'ul,batung'ul,-,-,-,have eye sores,may sugat sa mata,to have eye sores,Verb
batunit,batunit,-,-,-,button,butones,"small fastener used on clothing, typically round and sewn onto garments",Noun
batunit,batunit,-,-,-,sew buttons,manahi ng mga pindutan,to place buttons on clothing,Verb
batweng,batweng,-,-,-,weigh,timbangin,to weigh on a scale,Verb
batya,batya,-,-,-,large tub; laundry basin,palanggana; malaking batya,"large container, typically made of galvanized iron, aluminum, or plastic, used for washing clothes or other household tasks",Noun
baung,baung,-,-,-,plot for planting sweet potatoes,taniman ng kamote,designated area of land prepared for cultivating sweet potatoes,Noun
baw-i,bawi,-,-,-,collect gifts,mangolekta ng mga regalo,"to go gift collecting, particularly refers to an activity of a newly married couple",Verb
baw’ang,baw’ang,-,-,-,inside; inner part,loob; gitna,"inner area of a container, enclosed space, or place; may also refer to the central part of a field",Noun
baw'ok,baw'ok,-,-,-,thrust downward,itulak pababa,"to thrust downward with a sharp thing, usually for the purpose of placing an instrument such as yam-digger or walking stick",Verb
bawag,bawag,-,-,-,spread information,magpakalat ng impormasyon,to pass on or spread around information,Verb
bawol,bawol,-,-,-,spring-rod,palitik,"pliant branch used as the spring mechanism in certain types of traps, such as lingon, appad, and balai",Noun
bawwot,bawwot,-,-,-,toy top,trumpo,"small spinning toy, usually made of wood or carabao horn, consisting of a body (adol) and a blade (tadom), with a nail used to wrap a string",Noun
bay-ak,ak,bay-,-,-,have white belly,may puting tiyan,to be an animal with white stomach/belly area,Verb
bay-an,bay-an,-,-,-,let,hayaan,to not prevent or forbid,Verb
bay-u,bayu,-,-,-,pull down to reach,hilahin pababa para maabot,to pull down something to reach what is hanging on it; bend down something to reach,Verb
bay-un,bayun,-,-,-,put in basket,ilagay sa basket,to place something in a basket or bag,Verb
bay’a,bay’a,-,-,-,rice wine,alak na gawa sa bigas,"alcoholic beverage made from fermented rice, typically served during celebrations or rituals",Noun
bayad,bayad,-,-,-,pay,magbayad,to give someone for something that is due,Verb
bayad mu,bayad mu,-,-,-,your payment,bayad mo,your payment,Noun
bayag,bayag,-,-,-,be long-lasting,maging pangmatagalan,a long time,Verb
bayak,bayak,-,-,-,be white,maging puti,to be white; to become white or faded,Verb
bayakbak,bayakbak,-,-,-,bubble,bula,"to bubble, like boiling water",Verb
bayu,bayu,-,-,-,pound,ipukpuk,to pound something with a large piece of wood or a pestle,Verb
bayuwak,bayu,-,-,-,I will pound,ipagpukpok ko,pound something with a large piece of wood or a pestle,Verb
bayya-bat,bayya,-,-,-bat,be guava-field,maging bayabas-patlang,to be full of guava trees,Verb
bayyabe,bayya,-,-,-be,shoot slingshot,shoot tirador,to use a slingshot,Verb
bayyay,bayyay,-,-,-,walk slowly,dahan-dahang maglakad,to be slow in walking,Verb
bayyon,bayyon,-,-,-,be inadequate,maging hindi sapat,inadequate; lacking in ability or expected characteristics,Verb
bayyube,bayyu,-,-,-be,prohibit,ipagbawal,to prohibit an action,Verb
bayyung,bayyu,-,-,-ng,have tangled hair,may gusot na buhok,snarls in hair,Verb
be-et,beet,-,-,-,gather guavas,mangalap ng bayabas,to gather guavas,Verb
bebe,bebe,-,-,-,lose elasticity,mawala ang pagkalastiko,the loss of elasticity; elastic is stretched out,Verb
bedebede,bedebede,-,-,-,mumble,bumulong,to mumble; garbled speech,Verb
bekbek,bekbek,-,-,-,spank,palo,"to spank, used only to refer to spanking a child on the seat with the palm of the hand",Verb
bel'et,bel'et,-,-,-,hurry,magmadali,to hurry; to move or walk as fast as possible,Verb
bela,bela,-,-,-,attend occasion,dumalo sa okasyon,to go to an occasion such as a wedding or other celebration,Verb
belbeg,belbeg,-,-,-,fall on buttocks,mahulog sa puwitan,to fall on buttocks to the ground,Verb
belo,belo,-,-,-,wear veil,magsuot ng belo,to wear a veil,Verb
bentahe,bentahe,-,-,-,benefit,benepisyo,to benefit from something done; have mor advantages,Verb
betsinam,betsinam,-,-,-,season with Vetsin,season sa Vetsin,to add Vetsin to a dish,Verb
bibinabai,babai,-,-ibin-,-,women,mga babae,group of woman,Noun
bibittuwon,bituwon,bi-,-,-,stars,mga tala,the luminous celestial bodies seen in the night sky,Noun
bibyang,bibyang,-,-,-,interfere,makialam,to interfere in someon's personal affairs; to have concern for something or someone,Verb
bida,bida,-,-,-,tell story,magkwento,to tell a story,Verb
bidade,bidade,-,-,-,examine by turning,suriin sa pamamagitan ng pagliko,"to scrutinize ssomething by holding and turning, usually done when buying something",Verb
bidbid,bidbid,-,-,-,read,basahin,to discover information from texts by visual comprehension,Verb
biddu,biddu,-,-,-,wriggle,pumipihit,"to wriggle; to squirm, sometimes done due to back or stomach pains",Verb
bidul,bidul,-,-,-,be hard to temper,maging mahirap magalit,property of a metal which makes it difficult to temper; metal is an alloy,Verb
bidung,bidung,-,-,-,blow into,pumutok sa,to blow air into something; to inflate something,Verb
big-a,biga,-,-,-,stare wide-eyed,titig na dilat ang mata,wide-open eyes as if surprised or startled,Verb
bigat,bigat,-,-,-,tomorrow,bukas,on the day after today,Adverb
bigbig,bigbig,-,-,-,claim,paghahabol,to claim or acknowledge something or someone,Verb
bigbigat,bigat,big-,-,-,early morning,maagang umaga,Time marker,Noun
biggatan,biggat,-,-,-an,stay up late,puyat,to stay up late until morning,Verb
bigi,bigi,-,-,-,have worms,may bulate,to have worms,Verb
bigla,bigla,-,-,-,act abruptly,kumilos bigla,"to do something suddenly, abruptly",Verb
biglaan,bigla,-,-,-an,abruptly,bigla,suddenly; without warning,Adverb
bigo,bigo,-,-,-,have erection,magkaroon ng paninigas,libido; sexual urge; for a male to have an erection,Verb
bih-ak,bihak,-,-,-,separate strands,magkahiwalay na mga hibla,to part the threads carefully; to separate strands of thread or ties,Verb
bihibi,bihibi,-,-,-,have cold sores,may malamig na sugat,to have sores on lips; cold sores,Verb
bihuk,bihuk,-,-,-,be pooled,maging pooled,pooled water in ricefield after draining,Verb
bik-i,biki,-,-,-,tear apart,punitin,"to tear, rip or pull apart cloth or paper",Verb
bika,bika,-,-,-,strong,malakas,strong,Verb
bikang,bikang,-,-,-,stretch,mag-inat,to stretch out something with elasticity,Verb
bikkong,bikkong,-,-,-,play mouth instrument,tumugtog ng instrument sa bibig,to play a mouth instrument,Verb
biklag,biklag,-,-,-,spread blanket,magkalat ng kumot,to open and spread a blanket or piece of cloth,Verb
bikukkut,bikukkut,-,-,-,curl up,pumulupot,to assume fetal position in sitting or lying,Verb
bikyat,bikyat,-,-,-,open,bukas,to open something,Verb
bilabil,bilabil,-,-,-,leech,lintik,worm that lives in water and feeds on the blood of humans or animals,Noun
bilak,bilak,-,-,-,throw tantrum,magtatampo,"a tantrum; to cry hard and for a long time, refers only to a child's crying",Verb
bilang,bilang,-,-,-,consider,isaalang-alang,to consider someone,Verb
bilat,bilat,-,-,-,needle,karayom,small pointed tool used for sewing; traditionally made from rice straws or bamboo slivers,Noun
bilau,bilau,-,-,-,marrow grass; canegrass; runos,damong-marow; kawayan-kawayan,type of grass used for staking plants and making fences,Noun
bili,bili,-,-,-,rubber plant variety,uri ng halamang goma,type of rubber plant whose sap can be used for gluing things together,Noun
bilibili,bilibili,-,-,-,inspect,siyasatin,to look closely at something; inspect,Verb
bilid,bilid,-,-,-,mountain,bundok,a mountain,Noun
bilin,bilin,-,-,-,message; request,utos; mensahe,a message or request,Noun
bilin,bilin,-,-,-,send message,magpadala ng mensahe,to send a message,Verb
biling,biling,-,-,-,search carefully,maghanap ng mabuti,to examine something carefully; to search carefully among things in a container file turning them over and over,Verb
billid,billid,-,-,-,hill/mountain,bundok,Hill or mountain,Noun
bilok,bilok,-,-,-,insect-damaged,napinsala ng insekto,"to be damaged, of tuber, caused by insects; cannot be eaten",Verb
bimangun,bangun,-,-im-,-,awake,gising,not asleep,Adjectives
bimmahelan,bahel,-,-im-,-an,away from home,malayo sa tahanan,away from home,Adjectives
bimmaket mo,baket mo,-,-im-,-,elderly woman,lola; matandang babae,elderly woman,Noun
bimmoble,boble,-,-im-,-,villagers / townsfolk,mga taga-baryo,the people who live in a village,Noun
bimmoh-ol,bimmohol,-,-,-,be angry,magalit,to be angry; irate,Verb
bimmunga,bunga,-,-im-,-,bearing fruit,nag bunga,bearing fruit,Verb
bimmungot,bungot,-,-im-,-,got angry,nagalit,"feeling or showing strong annoyance, displeasure, or hostility",Adjectives
bimmusina,busina,-,-immu-,-,honk,bumusina,honking of vehicles,Verb
bimmuwa,buwa,-,-im-,-,seeded fruit,prutas na may buto,a fruit having a seed,Noun
binaang,binaang,-,-,-,glow,kumikinang,"to glow; to glitter, e",Verb
binabai,babai,-,-in-,-,women,mga babae,plural of woman,Noun
binaddanganah,badang,-,-in-,-anah,to help,tumulong,make it easier for (someone) to do something by offering one's services or resources.,Verb
binakantena,bakante,-,-in-,-na,he/she vacated,binakante niya,to leave a place empty,Verb
binalaan,binala,-,-,-an-,load,load,to load a weapon with ammunition,Verb
binaluna,balun,-,-in-,-a,bring along,binaon niya,"to bring something along, carry, or pack",Verb
binang,binang,-,-,-,boast drunkenly,magyabang ng lasing,"loud boastings of a drunken person, both talking and singing",Verb
binat,binat,-,-,-,stretch taut,mag-inat ng mahigpit,to stretch; to pull something taut,Verb
binatawelna,batawel,-,-in-,-na,pole,poste,"to carry on a pole on one's shoulder, usually produce that can be hung such as rice bundles.",Verb
binayu,bayu,-,-in-,-,pounded,binayo,strike or hit heavily and repeatedly,Verb
binbin,binbin,-,-,-,examine closely,suriing mabuti,to examine closely; look closely at something,Verb
bine,bine,-,-,-,have roe,magkaroon ng roe,has roe,Verb
bineletana,beletan,-,-in-,-a,accelerated,pinabilis,caused something to happen more quickly or to speed up a process,Verb
bingay,bingay,-,-,-,distribute produce,ipamahagi ang ani,to give people a share of produce,Verb
bingig,bingig,-,-,-,buzz,buzz,"buzz, sound produced by bees, flies, mosquitoes or other insects; whizzing sound of a flying missile",Verb
bingil,bingil,-,-,-,be grouped,mapangkat,to be grouped; crowded around something or someone,Verb
binha,binha,-,-,-,share,ibahagi,to have a portion of something with another,Verb
binhig,binhig,-,-,-,thud,kumalabog,refers to the thudding sound made by something falling,Verb
binhug,binhug,-,-,-,well-fed,busog,having eaten enough food,Verb
binle,binle,-,-,-,tired,pagod,"feeling physical or mental fatigue due to activity, work, or stress",Adjectives
binleg,binleg,-,-,-,carry on back,magpatuloy sa likod,to put someone on back and carry,Verb
binnah-el,bahel,-,-inna-,-,on both sides,sa magkabilang panig,on both sides,Verb
binnanno,binnanno,-,-,-,take turns,humalili,to take turns in using something,Verb
binodyak,bodyak,-,-in-,-,opened,binuksan,Action of opening animal’s mouth.,Verb
binokbok,binokbok,-,-,-,add yeast,magdagdag ng lebadura,to add yeast to rice for fermentation,Verb
binol,binol,-,-,-,be twisted,maging baluktot,"to be twisted, for something like thread to become twisted",Verb
binoltana,boltan,-,-in-,-a,took responsibility,inako,"means taking on responsibility, burden, or ownership",Verb
bintal,bintal,-,-,-,be spacious,maging maluwag,"to be spacious and clear, refers to an area; a clearing",Verb
bintan,bintan,-,-,-,remarry,muling magpakasal,to remarry,Verb
bintok,bintok,-,-,-,tied,nakatali,"bound or secured with a rope, string, or similar object; fixed in place",Verb
bot’ok,bot’ok,-,-,-,bundle,bungkos ng maliliit na bagay,an item or group of items that has already been tied or bundled together,Noun
binuhlan,binuhlan,-,-,-,wear loincloth,magsuot ng loincloth,to don a loincloth; to wear a loincloth,Verb
binulyu,binulyu,-,-,-,bamboo tie,pantali,a fastening or binding made of bamboo,Noun
binumhug,bumhug,-,-in-,-,full,nabusog,having eaten enough; feeling satiated,Verb
binumle,binle,-,-in-,-,exhausted,napagod,became physically or mentally tired due to exertion,Verb
binumtik,binumtik,-,-,-,ran,tumakbo,to move swiftly on foot,Verb
bistigal,bistigal,-,-,-,analyze,pag-aralan,to make a systematic examination of events or situations,Verb
bit'il,bit'il,-,-,-,be scarce of food,maging kapos sa pagkain,famine; scarcity of food,Verb
bitbit,bitbit,-,-,-,spread out,kumalat,"to spread out, e",Verb
bitkol,bitkol,-,-,-,strangle,sakalin,to strangle someone or something,Verb
bittayyun,bittayyun,-,-,-,gather grubs,mangalap ng mga uod,to gather grubs,Verb
bitu,bitu,-,-,-,trap,bitag,to trap animals using a hole in the ground,Verb
biyad,biyad,-,-,-,hit forcefully,tamaan ng malakas,to hit forcefully,Verb
biyag,biyag,-,-,-,life,buhay,"The existence of an individual human, animal, or plant",Noun
biyagon,biyag,-,-,-on,help survive,tumulong na mabuhay,to do something to help someone survive,Verb
biyahe,biyahe,-,-,-,travel,paglalakbay,take a trip; to travel,Verb
biyug,biyug,-,-,-,become sooty,maging soot,to become sooty,Verb
bo,bo,-,-,-,also / even,rin,in addition,Adverb
bob-a,bob-a,-,-,-,tooth,ngipin,tooth in humans or animals; can refer to a healthy tooth or a decayed tooth,Noun
bob-ahan,bob-ahan,-,-,-,use edentures,gumamit ng edentures,to use false teeth,Verb
bobida,bobida,-,-,-,ceiling,kisame,the interior overhead surface of a room or house,Noun
boble,boble,-,-,-,settle,tumira,to settle in a village; to live in a place; habitate,Verb
bobleyan,boble,-,-,-yan,build settlement,magtayo ng paninirahan,to build a hamlet or settlement,Verb
bobod,bobod,-,-,-,rope; string; cord,lubid; tali; pisi,"rope, string, or vine used for tying or binding objects",Noun
bobodan,bobod,-,-,-an,to tie,talian,"to fasten or bind something with a rope, string, cord, or similar material",Verb
bod'ang,bod'ang,-,-,-,ripen,pahinugin,to become reddish or yellowish as of vegetables and fruit in ripening,Verb
bodab'od,bodab'od,-,-,-,be entangled,maging gusot,to be entangled,Verb
bodal,bodal,-,-,-,be substandard,maging substandard,"sub-standard metal; if used for a cutting instrument, the instrument becomes dull quickly",Verb
bodyak,bodyak,-,-,-,burst open,biglang bumukas,to split-open and contents scatter; to burst,Verb
bog-ak,bog-ak,-,-,-,"loud, sudden laughter",malakas na tawa; hiyawan,sudden or loud burst of laughter,Noun
bog’a,boga,-,-,-,uncooked rice; milled or husked rice,hilaw na bigas; binalatan o giniling na palay,rice that has been milled or husked but not yet cooked; can also refer to native or ordinary rice varieties,Noun
bogbog,bogbog,-,-,-,be numb,maging manhid,"to be numb, numbness of a part of the body",Verb
bogha,bogha,-,-,-,first-time sow,baboy na unang kapanganak,female pig that has given birth for the first time,Noun
bognat,bognat,-,-,-,relapse,pagbabalik sa dati,to experience a relapse after sickness,Verb
Bogwa,Bogwa,-,-,-,exhumation ritual,ritwal ng paglilibing muli,"ritual of exhuming the remains of a deceased person, often performed to divine the needs of the spirit or as part of subsequent ceremonial rites",Noun
boh-ol,bohol,-,-,-,scold angrily,galit na galit,to be angry and scold,Verb
boh’ag,boh’ag,-,-,-,first offspring; firstborn,panganay; unang anak,first child or first offspring born to a family or pair of animals,Noun
bohat,bohat,-,-,-,sever,putulin,to break apart or sever something like a rope or chain,Verb
bohong,bohong,-,-,-,inside; interior,loob; interior ng gusali o sasakyan,"the interior part of a building, house, or vehicle",Noun
bohwang,bohwang,-,-,-,speak frankly,magsalita ng tapat,to speak frankly; speak openly,Verb
bohwat,bohwat,-,-,-,build settlement,magtayo ng paninirahan,to erect a building; to build,Verb
bok'a,bok'a,-,-,-,dig,maghukay,to dig with tool,Verb
boka,boka,-,-,-,throw,itapon,to throw something,Verb
bokab'ok,bokab'ok,-,-,-,debate,debate,to debate seriously; to argue,Verb
bokbok,bokbok,-,-,-,crush betelnut,crush betelnut,to crush betelnut for chewing,Verb
bokbokan,bokbok,-,-an-,-,ferment rice,mag-ferment ng bigas,to add yeast to rice to make rice wine,Verb
boklog,boklog,-,-,-,be stout,maging matapang,"to be a short, fat, and stout person",Verb
bokon,bokon,-,-,-,FALSE,mali,not according to truth or fact,Adjectives
boktot,boktot,-,-,-,be short and stout,maging maikli at mataba,to be short and stout; stocky,Verb
bokya,bokya,-,-,-,become a spinster,maging spinster,to have become a spinster,Verb
bokyag,bokyag,-,-,-,spread out,kumalat,"to open and spread out, e",Verb
bol'ad,bol'ad,-,-,-,undress,maghubad,to remove clothes; to be naked,Verb
bol'ak,bol'ak,-,-,-,wet,basa,"a wet surface, usually water or urine on floor; to become wet",Verb
bol'e,bol'e,-,-,-,be tired,mapagod,tiredness; fatigue; usually refers to muscle fatigue,Verb
bol'o,bol'o,-,-,-,buy cheaply,bumili ng mura,purchase of real estate at a bargain price,Verb
bola,bola,-,-,-,play ball,maglaro ng bola,to play with a ball,Verb
bolaad,bolaad,-,-,-,ambush,tambangan,to lie-in-wait; to ambush,Verb
bolak,bolak,-,-,-,flatter,mambola,to flatter; to deceive,Verb
bolda,bolda,-,-,-,embroider,magburda,to decorate something with ornamental needle work; to embroider something,Verb
boldang,bolda,-,-,-ng,glow,kumikinang,for embers to glow,Verb
bolhe,bolhe,-,-,-,divorce,diborsyo,to divorce; marital separation,Verb
bollang,bollang,-,-,-ng,unstrap,tanggalin ang strap,to remove from carrying blanket; take off carrying blanket,Verb
bolokbok,bolokbok,-,-,-,pop,pop,sound of popping as of popcorn or machine gun; the componenet of close intervals of sound is important,Verb
bolsa,bolsa,-,-,-,pocket,bulsa,to place something in a garment pocket,Verb
boltan,boltan,-,-,-,transfer,paglipat,"to transfer from one person to another; to take turns, change of responsibility",Verb
bolwa,bolwa,-,-,-,share ritual meat,magbahagi ng ritwal na karne,to share the meat sacrificed during a ritual,Verb
bolyad,bolyad,-,-,-,straighten,ituwid,"to straighten a crooked nail, wire or any metal",Verb
bomba,bomba,-,-,-,bob,bob,to use a bomb; to drop bombs,Verb
bon-ag,ag,bon-,-,-,fall ill,magkasakit,start of any sickness usually colds; first days of a flu,Verb
bon'al,bon'al,-,-,-,pelt,balutin,"to throw something, usually stones, with the intention of hitting someone or something",Verb
bong-o,bongo,-,-,-,select seedlings,pumili ng mga punla,to select rice plant seedlings for next planting season; this is done during harvesting,Verb
bong'ang,bong'ang,-,-,-,act foolishly,kumilos ng kalokohan,"to be foolish, without good judgment, results in inappropriate behavior",Verb
bong'ig,bong'ig,-,-,-,gluttonize,matakaw,"to be gluttonous, said of a person who is never satiated in eating",Verb
bong'ol,bong'ol,-,-,-,wear necklace,magsuot ng kwintas,to don or put on the necklace; to wear necklace of or strands of beads,Verb
bonga,bonga,-,-,-,suffer foot ailment,magdusa ng karamdaman sa paa,to have a foot disease,Verb
bongang,bongang,-,-,-,foolish,hangal,lacking good sense or judgment; unwise,Adjectives
bongbong,bongbong,-,-,-,block water,harangan ang tubig,to build a dam; to block water,Verb
bongdod,bongdod,-,-,-,prune,putulan,to cut off end of branch,Verb
bongenge,bongenge,-,-,-,be injured,masugatan,to be injured,Verb
