Iloko,English
kabassitan a paset ti komunidad.,smallest part of the community
"ti mangbukbukel ti pamilia ket ti ama, ina, ken dagiti annakda.","the family consists of the father, mother, and their children"
dagitoy ti miembro ti pamiliak a saan nga agnanaed ditoy balaymi.,these are members of my family who do not live in our house
"ania man a klase ti pamilia..., no napunuan ti panagayat ken panagsisinnakit..., daytoy ti kasayaatan a mangbukel ti maysa a pamilia.","whatever type of family..., if filled with love and mutual care..., this is what best forms a family."
isilpo ti ladawan ken ti husto a pangawag iti miembro ti pamilia,match the picture to the correct term for a family member.
marisan dagiti ladawan ti miembro ti pamilia,color the pictures of family members.
ipegket ti ladawan dagiti miembro ti pamiliam.,paste the pictures of your family members.
pagsilpuen ti linia ti rebbengan ti tunggal kameng ti pamilia.,connect the line to the responsibility of each family member.
isurat ti husto a balikas a pangawag iti miembro ti pamilia.,write the correct term for the family member.
idrowing ti pamiliaam. sungbatan ti saludsod iti baba: mano ti miembro ti pamiliaam?,draw your family. answer the question below: how many members are in your family?
"ni tatang ti aw-awagan nga ""haligi ng tahanan"". ni nanang ti aw-awagan nga ""ilaw ng tahanan"".","father is called the ""pillar of the home"". mother is called the ""light of the home""."
ni tatang ken nanang ti agtrabaho para ti pamilia.,father and mother work for the family.
"ni manong ken manang ti tumultulong nga agluto, aglaba, aglinis ti balay, ag-awir kenni ading.","older brother and older sister help cook, do laundry, clean the house, and take care of younger siblings."
ni ading met ti liwliwa iti pamilia.,the younger sibling is the joy of the family.
dagiti pamilia ket adda ti panagpapada ken panagdidinnumada.,families have similarities and differences
ti pamilia cruz ken pamilia reyes ket agpada nga adda tigtunggal lima a miembro ti pamilia.,the cruz and reyes families both have five members each.
ti pamilia santos ken pamilia torres ket agpada a lalaki ti annakda.,the santos and torres families both have male children.
"ti pamilia marquez ket kristiano, ti pamilia abdula ket muslim.","the marquez family is christian, the abdula family is muslim."
"uray agpapada wenno agdidinnuma ti pamilia, agitinnulong ken agsisinnakit dagiti miembro.","whether families are similar or different, members help and care for each other."
ipakitada iti ayat ken respeto ti tunggal maysa tapno naumosda.,they show love and respect to everyone to maintain harmony.
agtrabaho ni nanang kenni tatang tapno adda mausarda para kadagiti kasapulan ti pamilia.,mother and father work to provide for the family's needs.
dagiti wagas ti panangipakitia ti ayat ken respeto ti pamilia.,ways to show love and respect in the family.
pagparisen ti dakkel a letra ken iti bassit a letra babaen ti uged.,match the uppercase letter to the lowercase letter with a line.
sakaren dagiti letra a mangrugi iti aa inggana zz.,trace the letters from aa to zz.
marisan amin nga paaweng iti nalabbaga. duyaw ti i-kolor dagiti pauni.,color all vowels red. color consonants yellow.
agaramid ti linia a mangisilpo kadagiti dua a letra a rumberng nga agkadua.,draw a line-connecting the two letters that are the same.
isurat iti buo a naganmo. timbukelan dagiti pauni a letra idiay naganmo nga usar ti kahel a krayola.,write your full name. circle the consonant letters in your name using an orange crayon.
isurat ti mapukpukaw a letra babaen ti pannakaurnosda.,write the missing letters in order.
ti letra ti alpabeto ket bukbukelen iti 5 nga paaweng ken 23 nga pauni consonants,the alphabet consists of 5 vowels and 23 consonants.
ti pangibalikas iti alpabeto ket malyanatop iti panangiyebkas iti ingles.,the pronunciation of the alphabet is based on english enunciation
adda iti annak iti dagiti dakkel a letra.,the uppercase letters have children.
timbukelan dagiti banag a masarakan iti siled-pagadalan.,circle the objects found in the classroom.
isurat ti husto a bilang iti uneg ti kahon.,write the correct number inside the box.
pagparisen ti paset iti siled-pagadalan ken ti banag a makita ditoy babaen iti uged.,match the part of the classroom to the object found there with a line.
pagparisen ti lugar ken ti banag a makita iti daytoy a paset babaen ti uged.,match the place to the object found in that part with a line.
pagparisen ti ladawan iti umno a nagan na babaen iti uged.,match the picture to its correct name with a line.
pagparisen babaen ti uged dagiti tattao iti baba ti umno a lugar a pakasarakan kadakuada.,match the people below to the correct place where they are found with a line.
bilangen dagiti banag iti tunggal numero. isurat iti bassit a kahon ti husto a sungbat.,count the objects in each number. write the correct answer in the small box.
bilangen dagiti banag iti tunggal ragup. isurat iti kahon ti husto a sungbat.,count the objects in each set. write the correct answer in the box.
"mailasin dagiti banbanag a makita iti siled-pagadalan, eskuelaan, ken komunidad.","identify objects found in the classroom, school, and community."
mainaganan dagiti naduma-duma a paset iti siled-pagadalan ken eskuelaan.,name the different parts of the classroom and school.
maibaga dagiti banbanag a masarakan iti naduma-duma a paset.,tell the objects found in different parts.
mailasin dagiti agpada ti bilang nga banbanag uray nabaliwan ti puesto wenno umos na.,identify objects with the same number even if their arrangement is changed.
mabilang ken maisurat ti bilang dagiti banag.,count and write the number of objects.
saan nga agbaliw ti bilang iti banag uray nabaliwan ti umosda.,the number of objects does not change even if their arrangement is changed.
timbukelan dagiti paset a makita ti komunidad,circle the parts seen in the community.
pagparisen ti ladawan ken ti umno a paset ti komunidad.,match the picture to the correct part of the community.
pagparisen dagiti ladawan ti kameng iti komunidad ken dagiti obrada,match the pictures of community members to their jobs
pagsilpuen dagiti husto nga aramiden dagiti sumaganad a kameng iti komunidad.,match the correct actions of the following community members.
mangidrawing iti uneg ti kahon ti maysa a lugar nga makita ti maysa a komunidad.,draw inside the box one place seen in the community.
katulongan panggep talna ken umos,helper for peace and order
ti komunidad ket maysa a kameng a pagtaengan ti pamilia.,the community is a part where families live.
addaan dagiti naduma-dma a paset nga makita iti maysa a komunidad.,there are different parts seen in a community.
isuda ti kangrunaan a mangted ti kasapulan dagiti ubbing iti uneg ti pagadalan.,they are the main ones who provide the needs of children in school.
isuda met ti mangted ti panagayat ken panangtaraken dagiti ubbing.,they also give love and care to the children.
dagiti dadduma nga agsirsirbi iti komunidad.,others who serve in the community.
masapul a maamwan ti husto a panagdayaw.,one must know the proper way of greeting.
napotleg a maamwanyo ti panangibaga dagiti panagdawat ti dispensar.,it is important to know how to say sorry.
dagiti nadadayaw nga sao ken aramid ket mangipakita ti adal a nasayaat.,polite words and actions show good upbringing.
ania ti panawen tatta nga aldaw?,what is the weather today?
nainit ti panawanen no makita ti init idiay tangatang ken nagpudot ti riknam.,the weather is sunny when the sun is visible in the sky and you feel hot.
matutudo no kanayon nga agtudtudo.,it is rainy when it rains continuously.
naulep no ado ti ulep idiay tangatang ken nakaluban ti ulep diay init.,it is cloudy when there are many clouds in the sky and the sun is covered.
naangin nu mariknam ti lammiis ken pug-aw ti angin.,it is windy when you feel the coolness and breeze of the wind.
napintas ti agpatayab ti ullaw no naangin.,it is good to fly kites when it is windy.
agbagbagyo no napigsa ti angin ken tudo.,it is stormy when the wind and rain are strong.
pillen ti kaipapanan ti naugedan a hyperbole.,choose the meaning of the underlined hyperbole.
timbukelan ti letra ti umno a sungbat.,encircle the letter of the correct answer.
ugedan dagiti hyperbole kadagiti patang.,underline the hyperbole in the sentences.
pilien ti kaipapanan dagiti hyperbole.,choose the meaning of the hyperboles.
klase ti pangangarig a pagsasao a nailoaga ti nalabes.,a type of figurative language that uses extreme exaggeration.
agumok ti billit ti buok na.,birds could nest in his
intayab ti angin dagiti arapaap ko.,the wind blew my dreams away.
mabanglesan ti katay ti siasinoman.,he could break anyone's bones.
dumanun ti ballasiw ti taaw.,it can be heard across the sea
dumanon ti agsinnumbanger a lapayag ti isem na.,his smile could reach both ears.
uray la pimmuraw ti buokko nga naguray kenka.,my hair turned white waiting for you.
agkapetka ta napigsa ti anginna no agsao.,you should hold on because the wind from her speaking is strong.
agas-asok ti agong ni tatang ko no makaunget.,my father's nose smokes when he gets angry.
nakasagana dagiti agassawa a mangisalda ti batogda a langit mapagadalda ti maymaysa nga anakda.,the couple is ready to drain the heavens to educate their only child.
kasia itayab ti angin ti balayda maria idiay rabaw ti bantay.,maria's house on top of the mountain is like it was blown by the wind.
maysa a tonelada ti bakbaklayek a parikot.,the bundle i am carrying weighs a ton.
agumok ti billit iti buokna.,birds could nest in his hair.
uray la dumanon ti agsinnumbanger a lapayag ti isem na idi nakaawat ti rosas.,his smile could reach both ears when he received the rose.
ti bassit a kayo ti kalamansi ket nalastog a nakatakder.,the small calamansi tree stood very proudly.
ti kapanunotak maipanggep iti daytoy a damdamag ket...,my thought about this news is...
ti kapadasak maipanggep iti isyu ket...,my experience regarding the issue is...
saan a pannakilangen-langen ti sabali a tao,not interacting with other people
basar iti bukod a kapanunotan...,based on one's own thought...
basar iti bukod a reaksion...,based on one's own reaction...
basar iti bukod a kapadasan...,based on one's own experience...
urnosen ti jumbled words tapno mabuo dagiti paset ti pagiwarnak.,unscramble the jumbled words to form the parts of the newspaper.
isurat ti paset iti pagiwarnak.,write the part of the newspaper.
pagsilpuen ti batog a ken batog b babaen iti uged.,match column a and column b with a line.
saraken ken timbukelan dagiti paset ti pagiwarnak iti puzzle.,find and encircle the parts of the newspaper in the puzzle.
pilien ti sungbat iti baba. ugedan ti letra ti umno a sungbat.,choose the answer below. encircle the letter of the correct answer.
panid ti damdamag: launen daytoy ti kangrunaan a damdamag nga napasamak iti inaldaw.,news page: this contains the main news that happened today.
panid ti editorial: naglaon ti kapanunotan dagiti mannurat ken editor iti pagiwarnak.,editorial page: it contains the thoughts of the writers and editors of the newspaper.
"panid ti liwliwa: naglaon daytoy ti padamag maipanggep kadagiti makaay-ayo a malbnya, puzzle, ken dadduma pay.","entertainment page: this contains information about entertaining shows, puzzles, and more."
panid ti isports: naglaon ti damdamag maipanggep ti salisal ken dadduma pay nga isports.,sports page: it contains news about games and other sports.
"classified ads: mangted ti impomasion maipapan kadagiti barbaro a produkto, agkasapulan ti obra, ken pakacammo maipapan ti naikedkedengan maaramid.","classified ads: it gives information about new products, job openings, and announcements about important events to be done."
"obituario: naglaon ti nagnagan, ladawan, ken dadduma a padamag maipapan kadagiti natay ken kasta met ti panagyaman dagiti maseknan.","obituary: it contains the names, pictures, and other information about the deceased and also the gratitude of the bereaved."
"business section: naglaon iti impormasyon maipapan ti business, stock exchange.","business section: it contains information about business, stock exchange."
pilien ken isurat ti letra iti husto a sungbat.,choose and write the letter of the correct answer.
"isurat ti w no ti sungbat mo ket wen, s met no saan.","write w if your answer is yes, and s if it's no."
ikur-it ti nga rupa no umno ti sarita.,draw the face if the statement is correct.
mano ti nalakoda a mansanas idi enero?,how many apples did they sell in january?
sino ti kaadduan iti ay-ayam?,who has the most toys?
ti mula ni jimmy ket tallo nga niyog.,jimmy planted three coconut trees.
uppat ti agnanaed a babae idiay pilar.,there are four female residents in pilar.
ania nga obra ti kabassitan iti bilangna?,which job has the smallest number?
mano ti mangayat iti obra a kargador?,how many want the job of a porter?
mano ti bilang ti saba?,what is the count of bananas?
ni jimmy kadi ti kaadduan iti nakalap nga ikan?,is jimmy the one with the most caught fish?
lima ti nalugan ti bus.,five people rode the bus.
isurat ti kaipapanan dagiti ladawan.,write the meaning of the pictures.
ikonekta dagitoy a ladawan idiay kolum b.,connect these pictures to column b.
bukelan ti husto a letra ti sungbat.,encircle the correct letter of the answer.
isurat ti u no umno ti sungbat mo ken s no saan nga umno.,write u if your answer is correct and s if not correct.
ania ti ibagbaga iti lebel maipanggep iti ladawan?,what does the label say about the picture?
ania ti maipanggep iti ladawan?,what is the picture about?
ladawan iti husto a panagusar iti face mask.,a picture of the correct use of a face mask.
addaan ti 36 a porsiento dagiti prutas ken nateng idiay food pyramid.,fruits and vegetables have 36 percent in the food pyramid.
ugedan ti porma ti tignay.,encircle the form of the verb.
baseen dagiti sumaganad a patang.,based on the following sentences.
isurat iti sungbat iti linia.,write the answer on the line.
ipakita ti pakainaigan ti panawen ken tignay.,show the relationship between the time and the verb.
isilpo ti husto a tignay kadagiti ladawan.,link the correct verb to the pictures.
bukelan ti letra ti husto a porma.,encircle the letter of the correct form.
inbennat ti higante ti gurongna...,the giant stretched his legs...
imnapgad ti danum iti baybay.,the sea water became salty.
kasapulan iti lubong ti danum.,the need for water in the world.
uminom ti danum dagiti tao ken ayup tapno agbiag.,people and animals drink water to live.
papanan iti tattao ti aldaw iti domingo.,where people go on sunday.
jeep ti kangrunaan ken kalatakan a moda...,jeep is the primary and most common mode...
isuda ti mangsala ti nasudi.,they will dance the nasudi.
nainayad a simmerok ti pusa idiay tugaw.,the cat jumped carefully onto the chair.
maragsakan ti ubing iti kinapintas ti naawatna a sagut.,the child was happy because of the beauty of the gift he received.
dayawek ti kinaanus ni apongmo.,i admire the patience of your grandparent.
nasapa a simrek ni mario idiay eskuelaan.,mario entered the school early.
limmagtoak a daras idi nakaktitrak ti uleg.,i jumped immediately when i stepped on the snake.
naurnos a naimula dagiti nateng ni tatangko.,my father's vegetables were planted orderly.
agdardaras a napan idiay taltalon ta agtudon.,he went to the field hurriedly because it's raining.
dinengngegko a napigsa ti bosses ni tatangko.,i heard my father's voice loudly.
naragsakan a nakakita ni inangko kaniak.,my mother saw me happily.
naringgor ti panagdalluyon ti danum idiay baybay.,the water flows roughly in the sea.
inawatko a naragsak ti sagot ni silvia.,i received silvia's gift happily.
nasiglat a nagaramid ti pagmulaan ni bimbo.,bimbo made the garden plot energetically.
napardas a limmabas ti motor.,the motorcycle passed by quickly.
nagadal a napasnek ni adingko.,my younger sibling studied diligently.
nainayad a magna ni tatang kulas.,old man kulas walks slowly.
nasiglat a sunungbat ni kiko kadagiti mannursuro.,kiko answers the teachers energetically.
Husto nga Urnos Dagiti Aldaw ti Makalawas ken Bulan ti Makatawen,Correct Order of Days of the Week and Months of the Year
Iti panaglippas daytoy a modiul ket namnamaek a maibaga dagiti nagan ti aldaw iti makalawas ken bulan iti makatawen.,"At the end of this module, I hope you can name the days of the week and months of the year."
Aldaw iti makalawas wenno makadomingo ken bulan iti makatawen,Days of the week and months of the year
Ania ti umuna nga aldaw iti makalawas?,What is the first day of the week?
Ania nga aldaw ti sumaruno iti Martes?,What day comes after Tuesday?
"No inaganan dagiti bulan iti makalawas, daytoy ti husto nga urnosda.","When naming the months of the year, this is their correct order."
Ania ti maikapat a bulan iti makatawen?,What is the fourth month of the year?
Ania ti maudi a bulan iti tawen?,What is the last month of the year?
Daytoy a ladawan ket paset iti kalendario a bulan iti Enero 2021.,This picture is part of the January 2021 calendar.
Mano nga aldaw ti adda iti bulan iti Enero?,How many days are there in January?
Ania nga aldaw ti petsa Enero 8?,What day is January 8?
Ania ti aldaw a sumaruno iti Huebes?,What day comes after Thursday?
Ania nga aldaw ti nagtingngaan iti Martes ken Huebes?,What day is between Tuesday and Thursday?
Timbukelan ti letra iti husto a sungbat.,Encircle the letter of the correct answer.
Adalen daytoy a kalendario. Sungbatan dagiti sumaganad a damdamag.,Study this calendar. Answer the following questions.
Ania a bulan ti ipakpakita iti kalendario?,What month is shown in the calendar?
Ania dagiti petsa a nakabatog iti aldaw iti Lunes?,Which dates fall on Monday?
Addaan met iti sangapulo ket dua a bulan iti makatawen.,There are also twelve months in a year.
"No Pebrero ket bulan iti Valentine’s Day, ania ti pasamak iti bulan iti Disiembre?","If February is Valentine’s Day month, what event happens in December?"
"Naaramid daytoy a modiul para kadagiti ubbing nga adda iti Umuna a Tukad tapno masursuro ti panangusar iti relo, panangibaga ken panangisurat iti oras.","This module is made for Grade 1 pupils to learn how to use the clock, tell time, and write time."
Adda dua nga ima iti kadawyan a relo: oras ken minuto.,A typical clock has two hands: the hour hand and the minute hand.
Ti ababa nga ima iti relo ket isu ti mangibaga iti oras.,The shorter hand tells the hour.
Ti atiddug nga ima iti relo ket isu met ti mangibaga iti minuto.,The longer hand tells the minutes.
Ti panangpuligos ti ima ti relo ket agpakanawan.,The hands of the clock move clockwise.
Ti panagbilang ti kada numero ket saglilima.,Each number represents five minutes.
No basaen ti itudtudo a numero iti ababa nga ima iti relo isu met laeng ti pannakabasana.,You read the number pointed to by the short hand as the hour.
"No ibaga ti husto nga oras, umuna a kitaen diay itudtudo iti ababa nga ima ti relo.","To tell the correct time, first look at the hour hand."
Sumarnuo a kitaen diay atiddug nga ima ti relo.,Then look at the minute hand.
Kasano iti garaw dagiti ima ti relo?,How do the hands of the clock move?
Mano ti ima iti kadawyan a relo?,How many hands does a clock have?
Ania nga oras ti ipakpakita ti relo?,What time does the clock show?
Pagannurotan: Isurat ti oras nga ipakpakita iti tunggal relo.,Write the time shown on each clock.
Timbukelan ti husto nga oras nga ipakpakita dagiti relo.,Encircle the correct time shown by the clocks.
Idrowing ti ima dagiti relo babaen iti naited nga oras.,Draw the hands of the clocks based on the given times.
"Panagsolbar iti Parikut Maipapan Kadagiti Aldaw iti Makalawas, Bulan iti Makatawen ken Oras","Solving Problems About Days of the Week, Months of the Year, and Time"
"Daytoy a modiul ket naisagana ken naisurat tapno pasayaaten na ti kabaelam iti panagsolbar kadagiti parikut nga maipapan kadagiti Aldaw iti Makalawas, Bulan iti Makatawen ken Oras.","This module is prepared and written to improve your ability in solving problems about days of the week, months of the year, and time."
Masapul nga basaen ken tarusan nga nalalaing ti naited nga parikut maipapan dagiti aldaw iti makalawas tapno masungbatan daytoy.,You must read and understand well the given problem about the days of the week to answer it correctly.
Laglagipen nga adda pito nga Aldaw iti Makalawas.,Remember that there are seven days in a week.
Sarungkaran ni Anna ti apongna a baket iti dua nga aldaw. Agawidto isuna iti maikatlo nga aldaw.,Anna will visit her grandmother for two days. She will go home on the third day.
"No immalis ni Anna iti balayda idi kalman, Martes, anianto ngay nga aldaw nga agawid isuna diay balayda?","If Anna left their house yesterday, Tuesday, what day will she return home?"
Biernes nga agawid ni Anna idiay balayda.,Anna will return home on Friday.
"Tapno masungbatan dagiti parikut maipapan kadagiti Bulan iti Makatawen, nasken nga basaen ken tarusan nga nalalaing diay parikut.","To solve problems about months of the year, you must read and understand the problem well."
Adda sangapulo ket dua a Bulan iti Makatawen.,There are twelve months in a year.
Kasangay ni Lito inton maika-udi a lawas iti Marso. Planona a rambakan daytoy iti sumaruno a bulan.,Lito’s birthday is in the last week of March. He plans to celebrate it the following month.
Ania a bulan ti panagrambakna?,What month will he celebrate it?
Rambakan ni Lito ti kasangay na inton Abril.,Lito will celebrate his birthday in April.
Ti panangpuligos iti ima iti relo ket agpakannawan.,The hands of the clock move clockwise.
Maysa nga oras ti naglabes no agpuligos ti relo a naggapu iti 12 santo agsubli iti 12.,One hour passes when the clock hand travels from 12 and returns to 12.
"No ti oras ket kada gudua iti oras, adda ti ababa nga ima iti nagtingngaan iti dua a bilang ken nakatudo ti atiddug nga ima iti 6.","For half-hour, the short hand is between two numbers and the long hand points to 6."
"No ti oras ket kada quarter, ti ababa nga ima ket adda iti nagtingngaan iti dua a bilang ken ti atiddug nga ima ket nakatudo iti 3, 6 wenno 9.","For quarter-hour, the short hand is between two numbers and the long hand points to 3, 6, or 9."
"Inusar ni John ti 2 nga oras a nagbasa iti librona. No nangrugi isuna iti 6:00 iti rabii, ania ngay nga oras a nalpas a nagbasa isuna?","John used two hours reading his book. If he started at 6:00 PM, what time did he finish reading?"
Alas 8:00 iti rabii nga nalpas ni John a nagbasa.,John finished reading at 8:00 PM.
Pagannurotan: Isurat ti letra idiay uged sakbay iti numero iti husto a sungbat.,Instructions: Write the letter before the number for the correct answer.
Maikadua nga aldaw iti makalawas ti panagpapan ni Lino diay taltalonda.,The second day of the week is when Lino goes to the field.
"Marso 6, Huebes, ti kasangay ni Rina ken Marso 9 met ni Rino.","March 6, Thursday, is Rina’s birthday and March 9 is also Rino’s."
"No ti Enero 11 ket Lunes ken ti aldaw ti eksamin dagiti ubbing ket inton Enero 14 ken 15, ania ngay nga aldaw dagitoy?","If January 11 is Monday and the exam is on January 14 and 15, what days are these?"
Pagannurutan: Kumpletuen ti nagan iti bulan babaen ti panangisurat ti maaw-awan a letra.,Instructions: Complete the name of the month by writing the missing letters.
Gimmatang ni nanang iti baro a bag ni Perlin idi Pebrero. Planona nga ited daytoy iti sumaruno nga bulan.,Mother bought Perlin a new bag in February. She plans to give it next month.
Kasangay ni Sally inton umuna a lawas iti Disiembre. Planona a rambakan daytoy iti nasapsapa a bulan.,Sally’s birthday is in the first week of December. She plans to celebrate it the following month.
Tallo a bulan ti palabasen kalpasan daytoy a bulan santo apan manen agbakasion ni Tina idiay ayanda.,"Three months after this month, Tina will have vacation in their hometown."
"Sumrek ni Ela iti pagadalan kalpasan iti maysa nga oras. No ita ket 6:00 iti bigat, ania nga oras isuna a sumrek iti pagadalan?","Ela will enter school after one hour. If it is 6:00 AM now, what time will she enter?"
Inusar ni Abi ti dua nga oras a nagbasa ti librona.,Abi used two hours reading her book.
Mangrugi ti klase ni Pam iti Mathematics iti 1:00 iti malem.,Pam’s Mathematics class starts at 1:00 PM.
Ania oras a malpasno ti klasena ket umabot iti maysa nga oras?,"If the class lasts one hour, what time will it end?"
"Masapul a basaen ken tarusan a nalalaing ti naited a parikut maipapan dagiti Aldaw iti Makalawas, Bulan iti Makatawen ken Oras.","You must read and understand well the given problem about days, months, and time."
Adda pito nga aldaw iti Makalawas.,There are seven days in a week.
Adda sangapulo ket dua a bulan iti Makatawen.,There are twelve months in a year.
Adda pito nga aldaw iti makalawas.,There are seven days in a week.
Ti umuna nga aldaw ti panageskuela ket Lunes.,The first day of school is Monday.
Sabado nga mapmapan agpaspasiar ni Ero kada Lelongna.,Ero visits his grandfather every Saturday.
Kada umuna nga aldaw iti makalawas ti panagpasiar ti pamilia ni Eli idiay parke.,Eli’s family goes to the park every first day of the week.
"Adda iti mapasamak a panagtitipon dagiti pamilia ni Beni inton Paskua, maudi a bulan ti tawen.","Beni’s family will have a gathering on Christmas, the last month of the year."
Maika-innem a bulan iti tawen nga ramrambakan ti Independence Day.,The sixth month of the year celebrates Independence Day.
Ramrambakantayo iti Baro a Tawen kada umuna a bulan.,We celebrate New Year in the first month.
Napan idiay taltalon ni John a naka bisikleta.,John went to the field riding a bicycle.
Pimmanaw idiay balayda iti 7:00 iti bigat.,He left their house at 7:00 AM.
Nadanunna iti taltalonda kalpasan iti 30 a minuto.,He reached the field after 30 minutes.
Maysa oras met a nagay-ay-ayam ken timmultulong ni John kenni tatangna.,John played and helped his father for one hour.
Naaramid daytoy a modiul tapno matulungan dagiti agad-adal.,This module is created to help learners.
Napateg nga ammuen ti nilaon daytoy a modiul tapno maamuan no kasano ti panangpatta-patta ken panangrukod iti kinaatiddug babaen iti non-standard units.,It is important to understand this module to learn how to estimate and measure length using non-standard units.
"Dagiti pagarigan ti non-standard units of linear measures a mausar ket paper clip, palito ti gurabis, popsicle stick, lapis, galot ken dadduma pay.","Examples of non-standard units are paper clips, matchsticks, popsicle sticks, pencils, string, and others."
Agduduma ti kinaatiddug dagiti bambanag iti aglawlaw.,Objects around us have different lengths.
Adda lapis ken sumagmamano a paper clip ni Rica. Kayatna a rukuden ti lapis babaen iti paper clip.,Rica has a pencil and several paper clips. She wants to measure the pencil using paper clips.
"No sika ni Rica, ania ti aramidem?","If you were Rica, what would you do?"
Rukudentayo ti lapis babaen kadagiti paper clip tapno maamuan ti kaatiddug na.,Let’s measure the pencil using paper clips to know its length.
Ti rukod iti lapis ni Rica ket kas kaatiddug iti lima a paper clip.,The length of Rica’s pencil is equal to five paper clips.
Masapul a maammuam no kasano ti panangrukod iti kadagsen dagiti bambanag.,You must know how to measure the weight of objects.
"Dagiti pagarigan ti non-standard units of mass measures a mausar ket bulintik, plastic caps, barya ken dadduma pay.","Examples of non-standard units for mass are marbles, plastic caps, coins, and others."
"Maited ti dua a bambanag nga agkalanga, pagarigan ket dua a kahon.","Two objects may look similar, such as two boxes."
Maibagatayo ti nadagdagsen wenno nalaglag-an kadagitoy babaen iti panangiggem iti kahon iti tunggal ima.,We can tell which one is heavier or lighter by lifting each box with our hands.
Makita ditoy a ti maysa a kutsara ket kadagdagsenna iti tallo a bolintik.,Here you can see one spoon weighs three marbles.
Masapul a maammuam no kasano ti panangala iti kapasidad iti maysa a pagkargaan.,You must know how to determine the capacity of a container.
Ad-adu ti malaon dagiti dakkel a pagkargaan kas iti drum.,Large containers like drums can hold more.
Basbassit met ti malaon dagiti dadduma kas iti garapon.,Smaller containers like jars hold less.
"Kas makita iti ladawan, ti maysa a pitser ket aglaon iti innem a baso a danum.","As shown in the picture, a pitcher can hold six glasses of water."
Isu ti kapasidad ti maysa a pitser no kargaam ti danum ket innem a baso.,The capacity of the pitcher is six glasses of water.
Pagannurotan: Timbukelan ti letra iti husto a sungbat.,Instructions: Encircle the letter of the correct answer.
Ania a banag ti kas kaatiddug ti 2 a popsicle stick?,Which object has the same length as 2 popsicle sticks?
Ania a banag ti kas kaatiddug ti 4 a paper clip?,Which object has the same length as 4 paper clips?
Timbukelan ti umno a pangrukod kadagiti sumaganad a bambanag.,Encircle the correct tool used to measure the following objects.
Ania ti kaasitgan a kadagsen dagiti sumaganad nga bambanag?,What is the approximate weight of the following objects?
Rukuden dagiti sumaganad a bambanag babaen ti panagusar iti bulintik.,Measure the objects using marbles.
Isurat no mano a bolintik ti kadagsen dagiti sumaganad.,Write how many marbles each object weighs.
Rukuden dagiti sumaganad a bambanag babaen dagiti paper clip.,Measure the following objects using paper clips.
Marisan dagiti bambanag nga addaan iti agpada a kadagsen.,Group the objects that have equal weight.
"No ti maysa a garapon ket makalaon iti dua a tasa nga asin, mano a tasa ti asin ti masapul tapno mapunno dagiti naited a bilang ti garapon?","If one jar can hold two cups of salt, how many cups are needed to fill the number of jars below?"
Panangilawlawag iti Linaon iti Pictograph,Explaining Information in a Pictograph
Daytoy a modiul ket naisagana ken naisurat tapno pasayaaten ti kabaelan ken maikkan ti gundaway iti naragsak a panagadal ti Matematika.,This module is prepared and written to enhance skills and provide enjoyable mathematics learning.
Linaon daytoy a modiul dagiti aramiden a makaguyugoy a mangtakuat kadagiti nadumaduma a pagbatbatayan ti Matematika.,This module contains activities that help explore different mathematical concepts.
Iti panaglippas daytoy a modyul ket namnamaek a mailawlawag iti linaon ti pictograph.,"At the end of this module, I hope you can explain the information in a pictograph."
Pangilawlawag iti linaon iti pictograph.,Explaining the data in a pictograph.
Ania ti paulo iti pictograph?,What is the title of the pictograph?
Ti paulo iti pictograph ket Paborito a Prutas Dagiti Agad-adal iti Grade 1.,The title of the pictograph is Favorite Fruits of Grade 1 Learners.
Dagiti datos ket nagan iti prutas ken bilang iti ladawan.,The data are the names of fruits and the number of pictures.
"Dagiti prutas ket mangga, saba, mansanas ken kahel.","The fruits are mango, banana, apple, and orange."
Ania ti kaaduan a prutas?,Which fruit is the most chosen?
Ti kaaduan a prutas ket saba.,The most chosen fruit is banana.
Mano ti nagdumaan a bilang iti kahel ken mansanas?,How many is the difference between orange and apple?
Ania ti paulo iti pictograph?,What is the title of the pictograph?
Ania dagiti maris a napili dagiti agad-adal?,What colors did the learners choose?
Ania a maris ti napili iti kaaduan nga agad-adal?,Which color was chosen the most?
Ania met a maris ti napili iti kabassitan nga agad-adal?,Which color was chosen the least?
Mano ti nagdumaan a bilang dagiti asul ken berde?,What is the difference between blue and green?
Basaen. Adda taraken ni Arjay a naduma-duma nga ay-ayup.,Read. Arjay has different animals.
"Daytoy a pictograph, maipakpakita iti bilang dagiti ay-ayup a tinarakenna.",This pictograph shows the number of animals he raises.
Ania kadagiti ayup kabassitan ti bilangna?,Which animal has the smallest number?
Ania nga ayup ti adda bilang na a lima?,Which animal has a count of five?
Ania kadagiti ayup ti agpadpada ti bilangna?,Which animals have the same number?
Mano amin ti ayup a taraken ni Arjay?,How many animals in total does Arjay raise?
Ania ti rumbeng a paulo iti pictograph?,What should be the title of the pictograph?
Ti pictograph ket maysa a panangipakita ken panangilawlawag ti datos babaen ti panangusar ti naduma-duma a ladawan.,A pictograph is a way of showing and explaining data using pictures.
"Dagiti mausar a ladawan ket paborito a prutas, paborito a maris, paborito nga ayup ken dadduma pay.","Pictures used may be fruits, colors, animals, and others."
Denggen ti istoria dagiti nangannak.,Listen carefully to the story read by parents or teachers.
